,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,23-100,1998,17,5,597,6.6,0,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,2.2,2.2,1.1,3.3,0.33,0.17,0.50,0.33,0.50,Matches
2,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,23-198,1998,10,0,130,1.4,0,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,0.4,0.4,0.3,0.7,0.30,0.19,0.49,0.30,0.49,Matches
3,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22-362,1999,16,9,1014,11.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.01,0.07,0.08,0.01,0.08,Matches
4,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28-264,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,Matches
5,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21-277,2000,19,9,892,9.9,2,2,2,0,0,1,0,0.20,0.20,0.40,0.20,0.40,2.3,2.3,1.2,3.5,0.23,0.12,0.35,0.23,0.35,Matches
6,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19-319,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
7,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26-207,1995,17,16,1477,16.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,1.2,0.07,0.00,0.07,0.07,0.07,Matches
8,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26-298,1995,17,13,1044,11.6,2,2,2,0,0,3,0,0.17,0.17,0.34,0.17,0.34,1.2,1.2,1.6,2.8,0.11,0.14,0.24,0.11,0.24,Matches
9,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,29-126,1992,14,1,224,2.5,1,0,1,0,1,2,0,0.40,0.00,0.40,0.40,0.40,1.7,0.9,0.4,1.4,0.68,0.17,0.85,0.37,0.55,Matches
