,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,23-100,1998,6.6,19,2.86,11,0,0,1,2,5,2,0.30,1,0,0,1,0,0,Matches
2,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,23-198,1998,1.4,5,3.46,3,0,1,1,0,0,1,0.69,0,0,0,1,0,0,Matches
3,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22-362,1999,11.3,19,1.69,18,0,0,1,0,0,2,0.18,2,0,0,0,0,0,Matches
4,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28-264,1993,3.7,11,2.99,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,Matches
5,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21-277,2000,9.9,29,2.93,19,1,0,4,2,3,7,0.71,5,0,0,1,1,0,Matches
6,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19-319,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26-207,1995,16.4,5,0.30,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26-298,1995,11.6,22,1.90,14,1,2,3,1,1,4,0.34,2,0,0,1,0,1,Matches
9,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,29-126,1992,2.5,12,4.82,7,0,1,1,3,0,1,0.40,1,0,0,0,0,0,Matches
10,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,25-107,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches
11,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30-211,1991,9.3,14,1.50,10,0,0,1,2,1,3,0.32,2,0,0,0,1,0,Matches
12,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,23-118,1998,7.7,5,0.65,4,0,0,1,0,0,1,0.13,1,0,0,0,0,0,Matches
13,Fredrik André Bjørkan\3724baa1,no NOR,DFMF,Hertha BSC,23-174,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,27-142,1994,12.5,15,1.20,10,0,1,3,0,1,5,0.40,2,0,0,3,0,0,Matches
15,Angeliño\30941e96,es ESP,DF,RB Leipzig,25-038,1997,16.4,55,3.34,35,13,2,3,1,1,6,0.36,4,2,0,0,0,0,Matches
16,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,25-206,1996,17.8,21,1.18,18,0,0,0,1,2,2,0.11,2,0,0,0,0,0,Matches
17,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,28-004,1994,8.1,13,1.61,9,0,0,0,4,0,2,0.25,1,0,0,0,1,0,Matches
18,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,32-300,1989,8.6,14,1.62,14,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
19,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,27-260,1994,20.5,61,2.98,31,27,0,0,3,0,2,0.10,1,0,0,0,1,0,Matches
20,Takuma Asano\13ddc856,jp JPN,FW,Bochum,27-093,1994,9.6,21,2.18,18,0,1,1,1,0,1,0.10,1,0,0,0,0,0,Matches
21,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,24-351,1997,17.1,21,1.23,18,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
22,Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,19-187,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,21-017,2001,2.9,5,1.70,4,1,0,0,0,0,1,0.34,0,1,0,0,0,0,Matches
24,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,24-183,1997,14.0,27,1.93,18,0,3,5,1,0,2,0.14,0,0,1,0,1,0,Matches
