,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,23-100,1998,6.6,14,7,3,7,4,2,9,22.2,7,156,32,20.5,18,71,67,7,2,0,5,8,22,6,0,Matches
2,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,23-198,1998,1.4,2,2,0,1,1,2,3,66.7,1,43,14,32.6,5,17,21,2,0,0,2,0,2,1,0,Matches
3,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22-362,1999,11.3,19,9,3,13,3,7,25,28.0,18,236,75,31.8,64,141,31,21,1,0,20,20,39,13,1,Matches
4,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28-264,1993,3.7,13,8,8,4,1,5,13,38.5,8,81,27,33.3,17,41,23,5,0,0,5,3,16,2,0,Matches
5,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21-277,2000,9.9,29,18,9,15,5,13,22,59.1,9,202,70,34.7,45,84,73,26,4,0,22,13,42,5,0,Matches
6,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19-319,2002,0.7,0,0,0,0,0,0,1,0.0,1,17,6,35.3,4,10,3,2,0,0,2,0,0,2,0,Matches
7,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26-207,1995,16.4,37,26,22,11,4,18,22,81.8,4,163,80,49.1,95,58,10,22,11,0,11,30,67,50,0,Matches
8,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26-298,1995,11.6,22,11,9,7,6,10,19,52.6,9,183,52,28.4,64,72,47,42,0,0,42,22,44,11,1,Matches
9,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,29-126,1992,2.5,4,4,0,3,1,2,3,66.7,1,34,8,23.5,3,14,17,2,0,0,2,2,6,2,0,Matches
10,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,25-107,1996,4.1,8,4,4,2,2,4,7,57.1,3,57,23,40.4,14,30,13,5,1,0,4,5,13,2,0,Matches
11,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30-211,1991,9.3,9,7,1,3,5,5,8,62.5,3,127,41,32.3,1,53,73,5,0,0,5,2,11,9,0,Matches
12,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,23-118,1998,7.7,21,13,13,7,1,10,21,47.6,11,120,41,34.2,71,38,11,13,6,0,7,19,40,39,0,Matches
13,Fredrik André Bjørkan\3724baa1,no NOR,DFMF,Hertha BSC,23-174,1998,0.5,2,1,2,0,0,0,1,0.0,1,14,2,14.3,7,4,3,0,0,0,0,1,3,0,0,Matches
14,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,27-142,1994,12.5,24,20,12,11,1,9,20,45.0,11,229,78,34.1,91,118,20,28,7,0,21,36,60,33,1,Matches
15,Angeliño\30941e96,es ESP,DF,RB Leipzig,25-038,1997,16.4,24,11,10,12,2,11,24,45.8,13,173,67,38.7,69,59,45,30,2,0,28,21,45,34,0,Matches
16,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,25-206,1996,17.8,35,24,18,15,2,14,31,45.2,17,209,84,40.2,110,87,12,36,12,1,24,43,78,100,1,Matches
17,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,28-004,1994,8.1,16,11,6,8,2,5,14,35.7,9,179,51,28.5,28,73,78,12,0,0,12,6,22,5,0,Matches
18,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,32-300,1989,8.6,23,16,13,7,3,8,30,26.7,22,214,67,31.3,92,103,19,24,2,0,22,21,44,7,0,Matches
19,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,27-260,1994,20.5,26,16,16,9,1,7,26,26.9,19,344,108,31.4,137,178,29,27,8,0,19,40,66,26,0,Matches
20,Takuma Asano\13ddc856,jp JPN,FW,Bochum,27-093,1994,9.6,6,4,2,2,2,4,13,30.8,9,207,56,27.1,44,71,92,12,2,0,10,7,13,6,0,Matches
21,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,24-351,1997,17.1,63,46,34,26,3,23,60,38.3,37,384,128,33.3,166,188,30,33,4,0,29,49,112,27,1,Matches
22,Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,19-187,2002,0.1,0,0,0,0,0,0,0,,0,5,3,60.0,0,3,2,0,0,0,0,0,0,0,0,Matches
23,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,21-017,2001,2.9,3,2,0,2,1,1,3,33.3,2,43,14,32.6,16,20,7,9,2,0,7,9,12,2,0,Matches
24,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,24-183,1997,14.0,8,5,1,2,5,0,7,0.0,7,194,58,29.9,13,90,91,10,2,0,8,4,12,17,0,Matches
25,Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,21-236,2000,12.4,27,18,16,8,3,13,28,46.4,15,149,44,29.5,73,52,24,23,1,0,22,27,54,31,1,Matches
26,Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,23-309,1998,17.4,30,17,17,9,4,10,33,30.3,23,283,88,31.1,97,106,80,31,0,0,31,27,57,21,1,Matches
27,Aymen Barkok\a2a85828,ma MAR,FWMF,Eint Frankfurt,23-266,1998,1.1,5,3,3,2,0,1,3,33.3,2,34,10,29.4,12,14,8,3,0,0,3,3,8,5,0,Matches
28,Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,22-039,2000,15.2,58,30,25,23,10,19,36,52.8,17,361,98,27.1,96,192,73,25,5,0,20,32,90,26,0,Matches
29,Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,27-086,1994,11.6,18,13,11,5,2,6,13,46.2,7,143,48,33.6,60,54,29,25,6,0,19,20,38,28,1,Matches
30,Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,21-355,2000,2.3,9,3,6,2,1,6,8,75.0,2,40,11,27.5,15,21,4,6,2,0,4,6,15,0,1,Matches
31,Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,22-002,2000,13.7,26,18,20,5,1,11,20,55.0,9,164,63,38.4,94,67,3,20,9,0,11,33,59,83,1,Matches
