,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,23-100,1998,6.6,2,0,0,15,11,13,2,8,7,0,0,0,33,17,37,31.5,Matches
2,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,23-198,1998,1.4,0,0,0,5,3,5,6,0,2,0,0,0,14,16,3,84.2,Matches
3,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22-362,1999,11.3,3,0,0,16,11,0,3,20,9,0,0,0,129,16,8,66.7,Matches
4,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28-264,1993,3.7,0,0,0,6,9,4,6,3,8,0,0,0,27,5,13,27.8,Matches
5,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21-277,2000,9.9,1,0,0,20,22,8,9,13,18,0,0,0,67,14,23,37.8,Matches
6,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19-319,2002,0.7,0,0,0,2,1,0,0,0,0,0,0,0,2,1,3,25.0,Matches
7,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26-207,1995,16.4,2,0,0,13,16,1,1,30,26,0,0,1,143,42,29,59.2,Matches
8,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26-298,1995,11.6,3,0,0,22,18,2,26,22,11,0,1,0,90,18,16,52.9,Matches
9,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,29-126,1992,2.5,2,0,0,4,7,2,1,2,4,1,0,0,9,7,15,31.8,Matches
10,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,25-107,1996,4.1,0,0,0,1,13,0,3,5,4,0,0,0,37,1,4,20.0,Matches
11,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30-211,1991,9.3,2,0,0,17,14,5,12,2,7,0,0,0,27,33,57,36.7,Matches
12,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,23-118,1998,7.7,4,0,0,12,2,0,8,19,13,0,0,0,81,17,19,47.2,Matches
13,Fredrik André Bjørkan\3724baa1,no NOR,DFMF,Hertha BSC,23-174,1998,0.5,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,,Matches
14,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,27-142,1994,12.5,3,1,0,27,11,1,1,36,20,0,0,0,135,26,13,66.7,Matches
15,Angeliño\30941e96,es ESP,DF,RB Leipzig,25-038,1997,16.4,3,0,0,13,29,4,89,21,11,0,0,0,133,16,12,57.1,Matches
16,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,25-206,1996,17.8,3,1,0,17,11,0,11,43,24,0,0,0,168,46,39,54.1,Matches
