,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,23-100,1998,6.6,77,117,65.8,1053,307,46,64,71.9,22,34,64.7,3,8,37.5,1,1.1,-0.1,7,6,6,0,13,Matches
2,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,23-198,1998,1.4,29,56,51.8,436,90,13,24,54.2,13,23,56.5,1,3,33.3,1,0.3,+0.7,2,1,2,2,1,Matches
3,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22-362,1999,11.3,623,715,87.1,10239,2638,313,340,92.1,239,262,91.2,53,77,68.8,0,0.7,-0.7,6,63,8,0,44,Matches
4,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28-264,1993,3.7,73,99,73.7,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,0,0.7,-0.7,4,5,4,2,9,Matches
5,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21-277,2000,9.9,277,361,76.7,4161,1246,152,181,84.0,107,139,77.0,9,19,47.4,2,1.2,+0.8,7,23,10,4,31,Matches
6,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19-319,2002,0.7,29,33,87.9,559,84,12,14,85.7,9,10,90.0,6,7,85.7,0,0.0,0.0,0,0,0,0,1,Matches
7,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26-207,1995,16.4,1125,1234,91.2,25793,8438,283,306,92.5,593,613,96.7,246,303,81.2,0,0.0,0.0,1,84,2,0,80,Matches
8,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26-298,1995,11.6,459,617,74.4,8000,3589,231,276,83.7,180,230,78.3,43,88,48.9,2,1.6,+0.4,9,29,8,1,55,Matches
9,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,29-126,1992,2.5,35,50,70.0,459,62,21,31,67.7,12,14,85.7,0,1,0.0,0,0.4,-0.4,2,1,0,0,1,Matches
10,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,25-107,1996,4.1,183,222,82.4,3341,583,80,92,87.0,77,87,88.5,21,32,65.6,0,0.2,-0.2,3,9,9,0,18,Matches
11,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30-211,1991,9.3,114,171,66.7,1396,296,71,97,73.2,30,50,60.0,1,5,20.0,1,0.8,+0.2,6,3,5,1,8,Matches
12,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,23-118,1998,7.7,219,332,66.0,3918,2038,95,119,79.8,97,141,68.8,22,60,36.7,0,0.2,-0.2,3,20,1,0,28,Matches
13,Fredrik André Bjørkan\3724baa1,no NOR,DFMF,Hertha BSC,23-174,1998,0.5,17,20,85.0,234,93,10,12,83.3,6,6,100.0,1,2,50.0,0,0.0,0.0,0,1,1,1,1,Matches
14,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,27-142,1994,12.5,455,558,81.5,8231,2484,199,221,90.0,187,219,85.4,58,95,61.1,2,0.6,+1.4,4,50,8,0,53,Matches
