,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,23-100,1998,6.6,0,18,4,22.2,2.71,0.60,0.00,0.00,15.6,0,0,0,2.2,2.2,0.12,-2.2,-2.2,Matches
2,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,23-198,1998,1.4,0,8,1,12.5,5.54,0.69,0.00,0.00,14.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
3,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22-362,1999,11.3,0,2,0,0.0,0.18,0.00,0.00,,19.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
4,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28-264,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.50,16.7,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
5,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21-277,2000,9.9,2,23,15,65.2,2.32,1.51,0.09,0.13,14.9,0,0,0,2.3,2.3,0.11,-0.3,-0.3,Matches
6,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19-319,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26-207,1995,16.4,0,11,2,18.2,0.67,0.12,0.00,0.00,11.6,1,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
8,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26-298,1995,11.6,2,12,4,33.3,1.03,0.34,0.17,0.50,12.7,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches
9,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,29-126,1992,2.5,1,6,2,33.3,2.41,0.80,0.17,0.50,10.5,0,0,1,1.7,0.9,0.15,-0.7,+0.1,Matches
10,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,25-107,1996,4.1,1,8,2,25.0,1.95,0.49,0.13,0.50,20.1,1,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
11,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30-211,1991,9.3,2,28,10,35.7,3.00,1.07,0.07,0.20,12.1,0,0,0,2.9,2.9,0.10,-0.9,-0.9,Matches
12,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,23-118,1998,7.7,0,6,2,33.3,0.78,0.26,0.00,0.00,18.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
13,Fredrik André Bjørkan\3724baa1,no NOR,DFMF,Hertha BSC,23-174,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,27-142,1994,12.5,4,19,5,26.3,1.52,0.40,0.21,0.80,14.8,1,0,0,2.6,2.6,0.14,+1.4,+1.4,Matches
15,Angeliño\30941e96,es ESP,DF,RB Leipzig,25-038,1997,16.4,0,10,2,20.0,0.61,0.12,0.00,0.00,14.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
