,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-349,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-106,1991,15.6,49,3.15,33,11,1,2,2,0,3,0.19,1,2,0,0,0,0,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-277,1996,16.2,24,1.48,18,2,1,0,3,0,2,0.12,1,0,1,0,0,0,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-254,1988,1.7,3,1.79,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,22-008,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-135,1995,14.3,7,0.49,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-336,1993,8.6,6,0.70,3,1,1,1,0,0,1,0.12,1,0,0,0,0,0,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-301,2004,1.4,7,5.08,4,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-053,1997,2.0,2,1.01,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-232,1992,20.9,31,1.48,26,1,0,2,0,2,7,0.33,7,0,0,0,0,0,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-023,1999,13.9,25,1.80,12,11,1,0,0,1,3,0.22,1,2,0,0,0,0,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-327,1989,15.8,38,2.41,35,0,1,1,1,0,6,0.38,6,0,0,0,0,0,Matches
14,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,36-160,1985,18.0,3,0.17,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,28-165,1993,5.2,9,1.72,8,0,0,1,0,0,3,0.57,3,0,0,0,0,0,Matches
16,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,30-286,1991,1.3,4,3.00,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
17,Omar Alderete\bb08bce9,py PAR,DF,Valencia,25-047,1996,17.0,7,0.41,7,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
18,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,27-001,1995,5.0,9,1.82,7,0,1,1,0,0,3,0.61,2,0,1,0,0,0,Matches
19,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,24-037,1998,19.3,37,1.92,31,1,2,2,1,0,3,0.16,3,0,0,0,0,0,Matches
20,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,21-320,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,36-235,1985,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,27-018,1995,12.0,6,0.50,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
23,Dani Alves\c9e99e49,br BRA,DF,Barcelona,38-281,1983,1.8,5,2.85,4,1,0,0,0,0,2,1.14,2,0,0,0,0,0,Matches
24,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,20-083,2001,0.9,1,1.14,1,0,0,0,0,0,1,1.14,1,0,0,0,0,0,Matches
25,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,25-210,1996,7.5,13,1.73,6,0,1,2,3,1,1,0.13,0,0,0,1,0,0,Matches
26,Florin Andone\dc008610,ro ROU,FW,Cádiz,28-306,1993,2.0,4,2.05,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,José Ángel\3024e383,es ESP,DF,Osasuna,32-159,1989,7.3,12,1.64,10,1,0,1,0,0,2,0.27,1,0,0,1,0,0,Matches
28,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,21-219,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Mauro Arambarri\58afe001,uy URU,MF,Getafe,26-134,1995,17.9,40,2.23,18,13,3,1,3,2,8,0.45,3,2,2,0,0,1,Matches
30,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,30-166,1991,15.8,4,0.25,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-341,1999,13.4,7,0.52,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,1.9,2,1.05,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,3.6,5,1.38,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,3.9,1,0.26,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,11.0,36,3.26,20,5,2,7,2,0,5,0.45,2,0,1,2,0,0,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,19.7,67,3.40,52,7,2,3,3,0,8,0.41,5,0,1,2,0,0,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,4.9,9,1.83,4,4,0,0,0,1,1,0.20,0,1,0,0,0,0,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,4.0,6,1.50,6,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,9.8,14,1.43,9,0,0,0,3,2,3,0.31,1,0,0,0,1,1,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,14.6,9,0.62,6,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,5.5,12,2.20,8,0,0,2,2,0,2,0.37,1,0,0,0,1,0,Matches
45,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-321,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-116,2003,1.1,2,1.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-210,1989,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-347,1988,18.1,14,0.77,10,2,0,1,1,0,1,0.06,0,0,0,0,1,0,Matches
