,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-349,1996,6.2,7,6,5,1,1,3,4,75.0,1,35,13,37.1,14,20,1,13,5,2,8,11,18,39,1,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-106,1991,15.6,33,20,20,6,7,14,20,70.0,6,152,49,32.2,66,61,25,19,1,0,18,22,55,21,0,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-277,1996,16.2,38,19,19,11,8,22,39,56.4,17,191,52,27.2,85,80,26,27,3,0,24,23,61,41,0,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-254,1988,1.7,1,1,0,0,1,0,1,0.0,1,18,4,22.2,0,8,10,0,0,0,0,0,1,0,0,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,22-008,2000,0.1,1,1,0,0,1,0,0,,0,3,1,33.3,0,0,3,0,0,0,0,0,1,0,0,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-135,1995,14.3,26,19,21,4,1,6,13,46.2,7,157,65,41.4,103,51,3,30,12,0,18,28,54,61,2,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-336,1993,8.6,20,10,17,3,0,6,14,42.9,8,129,42,32.6,80,38,11,19,6,0,13,26,46,28,0,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-301,2004,1.4,2,0,0,1,1,0,0,,0,7,1,14.3,1,2,4,1,0,0,1,0,2,0,0,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-053,1997,2.0,6,4,2,3,1,1,4,25.0,3,40,13,32.5,16,19,5,2,0,0,2,3,9,5,0,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-232,1992,20.9,20,15,11,7,2,6,11,54.5,5,160,58,36.3,80,66,14,25,11,1,14,34,54,49,2,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-023,1999,13.9,28,15,13,10,5,8,18,44.4,10,208,67,32.2,108,75,25,29,6,0,23,23,51,47,0,Matches
