,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,Matches
2,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2,2,180,2.0,4,2.00,7,3,42.9,1,1,0,0,0.0,0,0,0,0,,Matches
3,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11,11,990,11.0,16,1.45,50,39,78.0,4,4,3,2,18.2,7,5,1,1,16.7,Matches
4,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18,18,1620,18.0,10,0.56,48,38,81.3,10,6,2,10,55.6,2,1,1,0,50.0,Matches
5,Claudio Bravo\10072610,cl CHI,GK,Betis,38-304,1983,9,9,810,9.0,12,1.33,34,24,64.7,6,1,2,2,22.2,0,0,0,0,,Matches
6,Cárdenas\e1846dde,es ESP,GK,Levante,24-320,1997,9,9,810,9.0,17,1.89,34,19,55.9,0,3,6,2,22.2,2,2,0,0,0.0,Matches
7,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-132,1986,12,12,1080,12.0,15,1.25,54,39,72.2,2,4,6,3,25.0,0,0,0,0,,Matches
8,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-295,1989,15,15,1277,14.2,26,1.83,64,42,65.6,4,7,4,3,20.0,5,4,1,0,20.0,Matches
9,Diego Conde\4eae5bc4,es ESP,GK,Getafe,23-106,1998,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
10,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,29-276,1992,23,23,2070,23.0,20,0.87,76,57,75.0,16,5,2,8,34.8,2,1,1,0,50.0,Matches
11,Javier Díaz\17a1299d,es ESP,GK,Sevilla,24-272,1997,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
