,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-349,1996,6.2,2,0,0,5,5,0,0,11,6,0,0,1,25,12,15,44.4,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-106,1991,15.6,4,0,0,19,34,0,84,22,20,0,0,0,127,19,29,39.6,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-277,1996,16.2,3,0,0,27,24,1,37,23,19,0,1,0,136,33,36,47.8,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-254,1988,1.7,0,0,0,1,2,1,4,0,1,0,0,0,3,4,2,66.7,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,22-008,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-135,1995,14.3,1,0,0,4,11,0,1,28,19,0,0,0,139,41,25,62.1,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-336,1993,8.6,3,0,0,11,8,0,13,26,10,0,1,0,76,17,16,51.5,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-301,2004,1.4,0,0,0,4,5,0,5,0,0,0,0,0,9,0,2,0.0,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-053,1997,2.0,1,0,0,8,0,0,0,3,4,0,0,0,16,5,1,83.3,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-232,1992,20.9,2,0,0,14,10,2,26,34,15,0,0,0,128,14,14,50.0,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-023,1999,13.9,5,0,0,22,9,0,21,23,15,0,1,0,137,22,22,50.0,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-327,1989,15.8,4,0,0,16,15,3,58,27,13,0,0,0,140,6,18,25.0,Matches
14,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,36-160,1985,18.0,4,0,0,13,11,2,0,25,9,0,0,0,162,35,22,61.4,Matches
15,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,28-165,1993,5.2,1,0,0,2,3,4,1,3,3,0,0,0,12,8,11,42.1,Matches
16,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,30-286,1991,1.3,0,0,0,5,6,0,0,2,4,0,0,0,15,1,2,33.3,Matches
17,Omar Alderete\bb08bce9,py PAR,DF,Valencia,25-047,1996,17.0,9,0,0,28,3,0,1,37,20,0,2,0,175,56,29,65.9,Matches
18,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,27-001,1995,5.0,4,0,0,15,15,2,18,6,12,0,1,0,39,3,6,33.3,Matches
19,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,24-037,1998,19.3,4,1,0,44,21,1,19,12,13,0,0,0,111,11,26,29.7,Matches
20,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,21-320,2000,0.2,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,50.0,Matches
21,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,36-235,1985,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
22,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,27-018,1995,12.0,4,0,0,14,6,1,0,30,14,0,0,0,157,40,33,54.8,Matches
23,Dani Alves\c9e99e49,br BRA,DF,Barcelona,38-281,1983,1.8,0,1,0,7,1,0,4,1,2,0,0,0,23,0,1,0.0,Matches
24,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,20-083,2001,0.9,0,0,0,2,1,0,1,0,0,0,0,0,9,2,1,66.7,Matches
25,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,25-210,1996,7.5,5,0,0,15,15,5,4,7,12,0,0,0,30,3,14,17.6,Matches
26,Florin Andone\dc008610,ro ROU,FW,Cádiz,28-306,1993,2.0,1,0,0,5,1,3,0,1,0,0,0,0,9,7,14,33.3,Matches
27,José Ángel\3024e383,es ESP,DF,Osasuna,32-159,1989,7.3,0,1,0,3,5,0,19,14,15,0,0,0,87,10,3,76.9,Matches
28,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,21-219,2000,0.6,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,,Matches
29,Mauro Arambarri\58afe001,uy URU,MF,Getafe,26-134,1995,17.9,7,0,0,42,32,0,13,29,28,0,1,0,174,15,21,41.7,Matches
30,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,30-166,1991,15.8,2,0,0,10,6,0,1,25,10,0,0,0,164,40,25,61.5,Matches
31,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-341,1999,13.4,2,0,0,13,9,0,3,22,13,0,0,0,115,43,12,78.2,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,1.9,1,0,0,5,3,0,2,1,3,0,0,0,15,3,2,60.0,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,3.6,1,0,0,5,4,2,7,4,3,0,0,0,45,6,12,33.3,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,3.9,1,0,0,5,7,1,6,5,6,0,0,0,29,15,14,51.7,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,11.0,1,0,0,6,16,2,25,13,6,0,0,0,63,0,3,0.0,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,19.7,7,0,0,16,36,13,46,14,4,0,1,0,123,18,37,32.7,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,0.3,0,0,0,1,1,0,0,0,0,0,0,0,1,2,4,33.3,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,4.9,1,0,0,8,7,0,9,8,8,0,0,0,29,15,5,75.0,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,4.0,1,0,0,6,2,0,11,7,10,0,0,0,42,9,4,69.2,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,9.8,5,1,1,15,20,9,17,13,4,0,0,0,46,23,59,28.0,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,14.6,7,0,0,33,29,0,4,24,41,0,0,0,175,33,25,56.9,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,5.5,3,0,0,3,9,5,2,1,3,1,0,0,16,11,16,40.7,Matches
45,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,0,0,0,0,0,0,0,1,0,0,0,0,68,0,0,,Matches
46,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-321,2000,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
47,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-116,2003,1.1,0,0,0,3,2,0,2,0,2,0,0,0,8,0,2,0.0,Matches
48,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-210,1989,2.1,1,0,0,2,0,1,2,5,0,0,0,0,7,4,4,50.0,Matches
49,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-347,1988,18.1,1,0,0,20,13,1,29,41,31,0,0,0,165,29,20,59.2,Matches
50,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,30-041,1992,21.0,6,0,0,38,42,4,44,39,9,0,3,0,162,23,21,52.3,Matches
51,Barbero\981c1863,es ESP,FWMF,Osasuna,23-178,1998,0.2,0,0,0,1,1,0,1,0,1,0,0,0,2,1,3,25.0,Matches
52,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,26-224,1995,10.7,3,0,0,22,28,2,20,12,14,0,0,0,73,3,6,33.3,Matches
53,Keidi Bare\03049c8c,al ALB,MF,Espanyol,24-167,1997,8.7,5,0,0,15,16,0,6,14,14,1,0,0,92,15,17,46.9,Matches
54,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,24-316,1997,7.1,1,0,0,16,22,0,25,12,3,0,0,0,51,10,9,52.6,Matches
55,Antonio Barragán\487d9b09,es ESP,DF,Elche,34-244,1987,6.5,2,0,0,11,13,0,11,13,6,0,1,0,39,4,0,100.0,Matches
