,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-349,1996,6.2,220,211,9,5,0,10,7,0,0,0,0,0,175,15,30,181,22,11,2,1,194,1,1,2,1,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-106,1991,15.6,1246,1036,210,35,2,105,64,84,21,0,18,0,727,196,323,933,113,30,154,1,992,2,19,37,30,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-277,1996,16.2,723,548,175,8,0,74,16,37,0,0,0,0,340,167,216,30,458,49,167,2,514,3,17,29,26,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,82,48,34,8,0,3,1,0,0,0,0,0,48,1,33,30,36,0,0,10,61,0,4,0,0,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-254,1988,1.7,43,41,2,0,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,31,0,0,0,0,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,22-008,2000,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-135,1995,14.3,674,657,17,7,1,76,14,1,0,0,0,0,470,58,146,107,485,50,10,2,558,0,18,10,11,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-336,1993,8.6,297,221,76,9,0,38,11,13,0,0,0,0,124,80,93,11,189,22,67,0,200,0,13,8,13,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-301,2004,1.4,52,52,0,0,0,8,1,5,0,0,0,0,44,3,5,48,3,1,0,0,44,0,0,1,2,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-053,1997,2.0,99,99,0,0,0,14,2,0,0,0,0,0,76,8,15,13,78,4,0,0,85,1,2,2,1,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-232,1992,20.9,1371,1307,64,25,2,115,12,26,3,3,0,0,1154,98,119,1129,170,30,31,2,1260,2,10,10,15,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-023,1999,13.9,484,424,60,27,0,87,37,21,31,12,15,0,243,66,175,33,408,27,1,1,342,2,15,8,10,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-327,1989,15.8,1437,1230,207,53,3,92,24,58,0,0,0,0,972,274,191,1082,155,39,154,4,1202,6,13,48,40,Matches
14,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,36-160,1985,18.0,1043,1003,40,38,0,107,42,0,0,0,0,0,776,79,188,172,795,60,2,0,903,1,15,13,15,Matches
15,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,28-165,1993,5.2,108,97,11,0,1,21,2,1,0,0,0,0,70,23,15,24,67,8,2,1,81,2,0,8,5,Matches
16,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,30-286,1991,1.3,66,64,2,2,0,6,2,0,0,0,0,0,48,8,10,11,53,1,0,1,59,0,0,3,0,Matches
17,Omar Alderete\bb08bce9,py PAR,DF,Valencia,25-047,1996,17.0,556,527,29,21,2,75,52,1,0,0,0,0,240,47,269,422,44,60,2,1,353,1,19,18,6,Matches
18,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,27-001,1995,5.0,104,103,1,0,0,21,4,18,0,0,0,0,43,28,33,8,79,12,1,1,56,0,6,4,5,Matches
19,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,24-037,1998,19.3,642,606,36,21,3,148,30,19,12,5,5,1,469,70,103,557,57,18,1,0,518,2,10,24,18,Matches
20,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,21-320,2000,0.2,14,8,6,0,0,4,0,1,0,0,0,0,4,2,8,0,6,1,6,0,10,0,0,0,1,Matches
21,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,36-235,1985,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,2,0,Matches
22,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,27-018,1995,12.0,613,583,30,29,0,73,23,0,0,0,0,0,424,56,133,48,498,38,1,2,505,1,12,10,12,Matches
23,Dani Alves\c9e99e49,br BRA,DF,Barcelona,38-281,1983,1.8,123,106,17,6,1,8,4,4,0,0,0,0,79,21,23,16,92,3,11,1,104,1,2,4,1,Matches
24,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,20-083,2001,0.9,40,32,8,0,0,6,1,1,0,0,0,0,21,11,8,24,2,3,8,1,27,0,1,1,2,Matches
25,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,25-210,1996,7.5,137,133,4,1,0,35,1,4,0,0,0,0,98,20,19,25,97,7,3,2,106,0,0,11,4,Matches
26,Florin Andone\dc008610,ro ROU,FW,Cádiz,28-306,1993,2.0,42,38,4,0,0,14,0,0,0,0,0,0,20,12,10,10,17,8,0,2,28,0,5,1,3,Matches
27,José Ángel\3024e383,es ESP,DF,Osasuna,32-159,1989,7.3,488,386,102,12,0,43,31,19,0,0,0,0,226,90,172,321,46,20,90,2,374,2,9,19,10,Matches
28,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,21-219,2000,0.6,25,23,2,0,0,1,1,0,0,0,0,0,20,0,5,8,14,3,0,0,20,0,0,0,0,Matches
29,Mauro Arambarri\58afe001,uy URU,MF,Getafe,26-134,1995,17.9,743,679,64,37,0,126,57,13,24,11,11,2,436,98,209,65,616,43,3,2,562,3,12,25,31,Matches
30,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,30-166,1991,15.8,806,786,20,17,0,57,19,1,0,0,0,0,610,57,139,104,619,56,3,1,679,5,18,10,9,Matches
31,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-341,1999,13.4,872,819,53,24,1,70,21,3,0,0,0,0,707,57,108,65,730,23,28,3,789,2,10,12,2,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,1.9,66,38,28,0,0,6,2,2,0,0,0,0,21,11,34,0,29,7,28,0,45,0,2,2,0,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,0.1,3,3,0,0,0,3,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,3.6,173,135,38,1,0,20,3,7,0,0,0,0,76,44,53,13,104,12,37,2,130,0,1,5,5,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,3.9,92,81,11,3,0,25,5,6,4,2,2,0,36,20,36,56,9,11,4,3,54,2,3,5,3,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,53,39,14,0,0,3,0,0,0,0,0,0,40,5,8,9,35,1,0,7,46,1,2,0,0,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,11.0,483,433,50,9,1,68,23,25,30,17,2,2,373,50,60,421,45,5,9,3,392,3,4,18,16,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,19.7,761,719,42,19,1,161,30,46,10,2,2,2,548,116,97,522,179,33,11,4,554,2,20,50,34,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,0.3,12,12,0,0,0,5,0,0,0,0,0,0,7,1,4,1,9,0,0,0,9,0,1,1,0,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,4.9,289,231,58,8,0,17,9,9,7,0,7,0,171,54,64,211,19,7,43,2,240,1,5,4,5,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,4.0,268,226,42,3,0,33,5,11,0,0,0,0,180,51,37,23,186,14,39,0,216,1,3,6,7,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,9.8,216,209,7,0,0,56,13,17,1,0,0,0,87,65,64,44,113,32,2,8,127,2,12,8,14,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,14.6,516,505,11,9,1,118,13,4,0,0,0,0,377,46,93,39,442,17,2,0,419,2,4,18,14,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,5.5,100,92,8,0,1,34,0,2,0,0,0,0,62,15,23,5,75,7,1,3,65,0,3,6,7,Matches
45,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,385,268,117,32,0,24,11,0,0,0,0,0,161,12,212,31,261,1,1,50,264,1,16,7,5,Matches
46,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-321,2000,0.0,5,5,0,0,0,1,0,1,0,0,0,0,4,0,1,5,0,0,0,0,4,0,0,0,0,Matches
47,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-116,2003,1.1,65,62,3,2,0,6,0,2,0,0,0,0,60,3,2,60,4,0,1,0,61,0,0,0,1,Matches
48,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-210,1989,2.1,51,51,0,0,0,15,1,2,0,0,0,0,31,10,10,42,4,1,0,0,38,2,1,5,1,Matches
49,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-347,1988,18.1,820,644,176,16,0,81,13,29,0,0,0,0,421,191,208,514,76,50,160,2,633,1,21,23,24,Matches
50,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,30-041,1992,21.0,1051,759,292,22,0,146,26,44,2,0,0,2,497,278,276,59,669,39,268,1,806,4,21,35,47,Matches
51,Barbero\981c1863,es ESP,FWMF,Osasuna,23-178,1998,0.2,10,9,1,0,0,5,0,1,0,0,0,0,8,0,2,2,7,0,0,0,5,0,0,0,0,Matches
52,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,26-224,1995,10.7,404,341,63,23,3,68,24,20,30,10,12,0,248,53,103,54,326,10,9,2,281,3,9,14,17,Matches
53,Keidi Bare\03049c8c,al ALB,MF,Espanyol,24-167,1997,8.7,466,455,11,9,2,74,16,6,0,0,0,0,345,53,68,33,400,18,1,1,395,2,2,17,7,Matches
54,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,24-316,1997,7.1,251,245,6,0,2,51,10,25,1,0,0,0,147,46,58,96,135,6,5,1,162,1,5,13,18,Matches
55,Antonio Barragán\487d9b09,es ESP,DF,Elche,34-244,1987,6.5,341,268,73,25,0,25,10,11,3,0,2,0,207,55,79,34,249,10,45,0,276,0,5,8,7,Matches
56,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,20-046,2001,6.1,187,185,2,1,1,40,3,8,0,0,0,0,149,16,22,27,151,4,1,0,136,0,3,12,12,Matches
57,Marc Bartra\b742cc0d,es ESP,DF,Betis,31-027,1991,9.1,452,436,16,15,1,41,21,0,0,0,0,0,302,30,120,14,390,34,1,1,369,1,15,10,4,Matches
