,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-349,1996,6.2,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0,0.0,0.0,0,8,0,0,9,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-106,1991,15.6,992,1246,79.6,20608,7378,367,389,94.3,432,507,85.2,185,316,58.5,3,2.2,+0.8,28,66,29,16,82,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-277,1996,16.2,514,723,71.1,9619,4942,206,248,83.1,254,333,76.3,52,123,42.3,1,0.9,+0.1,13,42,18,10,51,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,61,82,74.4,1695,1037,14,14,100.0,30,30,100.0,16,37,43.2,0,0.0,0.0,0,1,0,0,0,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-254,1988,1.7,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,0,0.3,-0.3,1,2,0,0,2,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,22-008,2000,0.1,2,2,100.0,24,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-135,1995,14.3,558,674,82.8,13082,3651,123,143,86.0,288,316,91.1,139,198,70.2,0,0.0,0.0,1,45,1,0,38,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-336,1993,8.6,200,297,67.3,4119,2018,74,92,80.4,91,123,74.0,32,70,45.7,0,0.1,-0.1,2,12,5,3,10,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-301,2004,1.4,44,52,84.6,612,180,34,35,97.1,8,10,80.0,2,5,40.0,0,0.4,-0.4,3,3,5,1,6,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-053,1997,2.0,85,99,85.9,1522,410,33,39,84.6,44,48,91.7,6,10,60.0,0,0.0,0.0,1,8,1,0,6,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-232,1992,20.9,1260,1371,91.9,23503,7763,520,539,96.5,564,596,94.6,158,203,77.8,3,2.1,+0.9,16,94,13,2,71,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-023,1999,13.9,342,484,70.7,7748,2132,115,133,86.5,138,184,75.0,82,148,55.4,1,1.1,-0.1,13,36,7,3,29,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-327,1989,15.8,1202,1437,83.6,20468,7648,572,631,90.6,517,596,86.7,97,157,61.8,4,2.4,+1.6,24,96,30,6,124,Matches
14,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,36-160,1985,18.0,903,1043,86.6,21695,5948,191,210,91.0,483,520,92.9,221,290,76.2,0,0.0,0.0,1,44,0,0,42,Matches
15,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,28-165,1993,5.2,81,108,75.0,1119,223,49,59,83.1,18,26,69.2,6,7,85.7,2,1.6,+0.4,5,5,3,1,7,Matches
16,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,30-286,1991,1.3,59,66,89.4,1189,420,23,25,92.0,27,28,96.4,9,13,69.2,0,0.1,-0.1,1,10,2,0,12,Matches
17,Omar Alderete\bb08bce9,py PAR,DF,Valencia,25-047,1996,17.0,353,556,63.5,9303,4195,87,108,80.6,151,193,78.2,109,245,44.5,0,0.2,-0.2,3,49,6,0,52,Matches
18,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,27-001,1995,5.0,56,104,53.8,906,409,31,39,79.5,13,23,56.5,8,35,22.9,2,0.9,+1.1,6,4,6,4,8,Matches
19,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,24-037,1998,19.3,518,642,80.7,9511,1894,245,271,90.4,187,228,82.0,77,116,66.4,2,1.2,+0.8,16,45,14,4,50,Matches
20,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,21-320,2000,0.2,10,14,71.4,186,127,4,4,100.0,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Matches
21,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,36-235,1985,0.1,1,3,33.3,22,3,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
22,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,27-018,1995,12.0,505,613,82.4,11247,4521,137,148,92.6,267,299,89.3,98,151,64.9,0,0.1,-0.1,2,37,3,0,46,Matches
23,Dani Alves\c9e99e49,br BRA,DF,Barcelona,38-281,1983,1.8,104,123,84.6,1924,667,57,63,90.5,36,41,87.8,11,18,61.1,2,0.3,+1.7,5,11,2,2,9,Matches
24,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,20-083,2001,0.9,27,40,67.5,447,165,15,19,78.9,9,12,75.0,3,7,42.9,1,0.0,+1.0,1,1,0,0,2,Matches
25,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,25-210,1996,7.5,106,137,77.4,1563,386,59,69,85.5,27,41,65.9,9,10,90.0,1,0.2,+0.8,3,10,2,0,11,Matches
26,Florin Andone\dc008610,ro ROU,FW,Cádiz,28-306,1993,2.0,28,42,66.7,372,45,18,21,85.7,8,14,57.1,1,3,33.3,0,0.0,0.0,2,3,0,0,2,Matches
27,José Ángel\3024e383,es ESP,DF,Osasuna,32-159,1989,7.3,374,488,76.6,8326,3886,128,153,83.7,161,187,86.1,81,139,58.3,1,1.0,0.0,5,40,18,8,42,Matches
28,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,21-219,2000,0.6,20,25,80.0,317,70,11,11,100.0,4,7,57.1,3,5,60.0,0,0.0,0.0,0,1,0,0,0,Matches
29,Mauro Arambarri\58afe001,uy URU,MF,Getafe,26-134,1995,17.9,562,743,75.6,12780,3246,200,243,82.3,202,247,81.8,150,218,68.8,4,1.2,+2.8,20,55,8,4,41,Matches
30,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,30-166,1991,15.8,679,806,84.2,15047,3698,181,200,90.5,342,377,90.7,151,214,70.6,0,0.0,0.0,0,33,1,0,31,Matches
31,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-341,1999,13.4,789,872,90.5,16220,4476,231,238,97.1,451,477,94.5,102,149,68.5,0,0.4,-0.4,4,55,4,1,40,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,1.9,45,66,68.2,932,485,15,16,93.8,22,33,66.7,8,17,47.1,0,0.0,0.0,1,3,0,0,3,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,0.1,1,3,33.3,11,0,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,3.6,130,173,75.1,2334,982,48,60,80.0,67,86,77.9,13,21,61.9,0,0.2,-0.2,2,7,1,1,11,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,3.9,54,92,58.7,855,235,25,33,75.8,19,30,63.3,4,19,21.1,0,0.0,0.0,0,1,2,2,2,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,46,53,86.8,1164,687,12,12,100.0,21,21,100.0,13,20,65.0,0,0.0,0.0,0,0,0,0,0,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,11.0,392,483,81.2,7001,1291,204,234,87.2,123,142,86.6,57,88,64.8,0,1.4,-1.4,14,28,11,2,30,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,19.7,554,761,72.8,8904,1823,313,377,83.0,149,218,68.3,63,101,62.4,3,3.9,-0.9,41,27,22,6,49,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,0.3,9,12,75.0,151,52,5,6,83.3,2,3,66.7,1,1,100.0,0,0.0,0.0,0,2,0,0,1,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,4.9,240,289,83.0,4007,1506,120,127,94.5,99,111,89.2,17,42,40.5,1,0.2,+0.8,6,12,3,2,9,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,4.0,216,268,80.6,3957,1493,84,105,80.0,108,121,89.3,19,32,59.4,1,0.8,+0.2,3,16,7,4,30,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,9.8,127,216,58.8,2503,634,54,85,63.5,51,75,68.0,20,41,48.8,0,0.6,-0.6,5,14,8,5,15,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,14.6,419,516,81.2,8667,2400,137,161,85.1,195,223,87.4,78,109,71.6,0,0.2,-0.2,4,37,3,1,42,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,5.5,65,100,65.0,1037,233,31,40,77.5,22,37,59.5,7,12,58.3,1,0.5,+0.5,4,7,2,0,7,Matches
