,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-349,1996,6.2,290,63,186,113,7,5,282,0,0,,0,0,156,803,478,7,0,0,2,0,187,182,97.3,1,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-106,1991,15.6,1391,35,409,677,392,14,1191,32,41,78.0,33,3,944,4213,2496,99,22,3,17,19,996,952,95.6,47,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-277,1996,16.2,891,48,276,433,220,9,720,14,19,73.7,14,1,420,1658,983,43,16,0,8,9,487,422,86.7,18,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,95,75,95,0,0,0,61,0,0,,0,0,38,159,75,0,0,0,0,0,26,25,96.2,0,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-254,1988,1.7,59,0,1,28,33,15,57,1,1,100.0,1,0,38,237,110,7,2,2,5,2,78,53,67.9,16,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,22-008,2000,0.1,3,0,1,1,1,0,3,0,0,,0,0,1,2,2,0,0,0,0,0,1,1,100.0,0,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-135,1995,14.3,824,120,455,400,18,7,807,2,3,66.7,2,0,505,3025,1691,43,3,0,6,4,505,497,98.4,2,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-336,1993,8.6,402,48,177,150,90,2,328,2,3,66.7,3,1,165,820,413,19,8,0,7,2,166,139,83.7,11,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-301,2004,1.4,70,0,6,20,50,8,70,1,3,33.3,1,1,62,272,169,12,2,3,0,3,60,56,93.3,5,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-053,1997,2.0,117,6,33,79,10,1,117,2,2,100.0,2,0,76,374,211,9,1,0,2,0,85,84,98.8,0,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-232,1992,20.9,1519,177,685,753,214,36,1451,4,6,66.7,4,0,1107,7093,3873,89,27,7,10,6,1220,1175,96.3,39,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-023,1999,13.9,658,54,204,344,137,10,598,4,9,44.4,5,0,342,1333,526,12,6,0,10,12,344,312,90.7,18,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-327,1989,15.8,1569,45,379,736,513,47,1370,7,17,41.2,8,3,974,3039,1528,66,18,6,10,6,1178,1100,93.4,66,Matches
14,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,36-160,1985,18.0,1190,177,668,601,25,4,1153,3,4,75.0,3,0,753,5203,2997,56,2,0,2,0,822,812,98.8,0,Matches
15,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,28-165,1993,5.2,153,1,9,63,84,29,142,3,5,60.0,3,0,82,301,117,6,2,0,12,6,198,113,57.1,37,Matches
16,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,30-286,1991,1.3,88,4,29,55,13,3,86,0,0,,0,0,60,359,203,8,3,0,2,2,63,59,93.7,1,Matches
17,Omar Alderete\bb08bce9,py PAR,DF,Valencia,25-047,1996,17.0,775,137,437,351,38,17,748,3,4,75.0,3,0,350,2687,1561,30,4,0,3,6,342,334,97.7,3,Matches
18,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,27-001,1995,5.0,188,12,61,81,68,6,187,5,13,38.5,5,0,128,858,523,23,9,1,14,15,164,108,65.9,13,Matches
19,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,24-037,1998,19.3,822,7,94,499,282,12,787,11,27,40.7,14,1,596,2861,1329,66,23,2,28,29,739,600,81.2,58,Matches
20,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,21-320,2000,0.2,17,2,6,9,3,0,11,2,3,66.7,2,0,7,24,14,0,0,0,0,0,4,4,100.0,0,Matches
21,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,36-235,1985,0.1,8,1,1,5,3,1,8,0,0,,0,0,2,13,3,0,0,0,0,1,5,4,80.0,1,Matches
22,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,27-018,1995,12.0,742,112,390,373,37,6,717,4,6,66.7,5,0,384,2819,1583,33,10,0,2,4,409,404,98.8,1,Matches
23,Dani Alves\c9e99e49,br BRA,DF,Barcelona,38-281,1983,1.8,136,2,25,85,34,4,119,0,0,,0,0,89,331,203,14,7,0,0,1,84,82,97.6,5,Matches
24,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,20-083,2001,0.9,49,1,11,27,14,3,41,3,4,75.0,3,0,26,165,110,6,1,1,2,0,33,25,75.8,2,Matches
25,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,25-210,1996,7.5,239,10,45,119,92,21,235,10,18,55.6,11,2,160,806,444,27,8,3,16,14,254,150,59.1,29,Matches
26,Florin Andone\dc008610,ro ROU,FW,Cádiz,28-306,1993,2.0,58,1,4,30,29,6,54,2,4,50.0,2,1,35,116,22,1,1,0,6,2,106,41,38.7,10,Matches
27,José Ángel\3024e383,es ESP,DF,Osasuna,32-159,1989,7.3,572,20,112,324,162,5,473,9,14,64.3,10,1,338,1732,773,36,10,0,3,10,340,312,91.8,6,Matches
28,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,21-219,2000,0.6,32,9,24,11,0,0,30,0,0,,0,0,14,76,28,0,0,0,1,0,19,19,100.0,0,Matches
29,Mauro Arambarri\58afe001,uy URU,MF,Getafe,26-134,1995,17.9,948,18,170,608,216,12,888,31,43,72.1,31,1,593,3186,1280,54,13,1,21,16,626,573,91.5,31,Matches
30,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,30-166,1991,15.8,950,122,554,450,37,7,930,5,5,100.0,5,0,571,4073,2269,44,18,0,2,3,620,608,98.1,1,Matches
31,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-341,1999,13.4,1001,140,468,537,62,18,950,2,5,40.0,2,0,678,3996,2306,56,9,1,4,4,723,709,98.1,5,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,1.9,83,6,21,43,22,1,55,0,2,0.0,0,0,28,155,64,4,1,0,2,2,34,24,70.6,3,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,0.1,3,0,0,1,2,0,3,0,0,,0,0,1,4,4,0,0,0,0,0,1,1,100.0,0,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,3.6,212,17,69,79,75,4,174,2,6,33.3,2,1,106,480,269,14,7,0,5,2,105,87,82.9,8,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,3.9,149,11,55,55,48,2,139,2,10,20.0,3,3,81,431,234,5,2,0,6,6,112,74,66.1,7,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,55,45,54,1,0,0,41,0,0,,0,0,29,125,82,0,0,0,0,0,25,24,96.0,0,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,11.0,585,7,60,246,325,56,535,10,19,52.6,10,1,426,2635,1346,61,21,7,6,13,539,437,81.1,75,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,19.7,954,14,71,418,532,114,917,20,33,60.6,22,1,673,3799,2035,114,42,28,42,23,1022,724,70.8,174,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,0.3,22,1,3,11,10,0,22,0,1,0.0,0,0,14,86,49,2,1,0,1,0,32,15,46.9,4,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,4.9,347,13,116,142,101,7,292,1,1,100.0,1,0,189,658,293,16,3,2,9,4,223,209,93.7,11,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,4.0,323,11,73,167,99,11,281,2,6,33.3,2,1,189,686,403,21,9,1,3,5,214,200,93.5,13,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,9.8,337,6,30,145,181,30,329,1,9,11.1,5,1,178,1020,453,21,8,3,24,7,484,234,48.3,47,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,14.6,689,50,217,442,73,9,680,12,19,63.2,13,1,466,2409,1081,36,14,0,10,21,386,360,93.3,3,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,5.5,141,6,16,60,71,21,133,8,10,80.0,8,1,80,426,242,14,3,6,6,4,186,95,51.1,24,Matches
