,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,5,0,0,0,0,4.6,0.25,-0.4,-0.10,10,31,32.3,56,10,37.5,36.8,26,38.5,38.3,35,2,5.7,5,1.25,17.3,Matches
2,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,4,0,0,0,0,2.9,0.41,-1.1,-0.56,5,11,45.5,39,7,17.9,28.3,14,28.6,32.5,24,1,4.2,2,1.00,17.1,Matches
3,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,16,5,0,5,0,20.4,0.30,+4.4,+0.40,93,206,45.1,301,50,49.2,39.3,84,69.0,48.9,118,10,8.5,8,0.73,14.3,Matches
4,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18.0,10,1,0,3,0,12.1,0.22,+2.1,+0.12,98,244,40.2,488,63,34.4,35.4,130,58.5,47.0,139,11,7.9,13,0.72,14.2,Matches
5,Claudio Bravo\10072610,cl CHI,GK,Betis,38-304,1983,9.0,12,0,0,1,2,12.8,0.38,+2.8,+0.31,67,164,40.9,237,26,55.7,45.0,49,65.3,51.9,91,2,2.2,3,0.33,12.3,Matches
6,Cárdenas\e1846dde,es ESP,GK,Levante,24-320,1997,9.0,17,2,0,2,0,12.6,0.32,-4.4,-0.49,50,132,37.9,217,38,46.1,39.1,65,49.2,40.9,74,3,4.1,7,0.78,14.2,Matches
7,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-132,1986,12.0,15,0,0,1,0,13.7,0.25,-1.3,-0.11,79,218,36.2,288,62,52.1,41.7,119,57.1,44.2,121,7,5.8,10,0.83,15.5,Matches
8,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-295,1989,14.2,26,4,0,4,2,26.6,0.37,+2.6,+0.18,104,239,43.5,303,57,56.1,46.1,90,76.7,58.9,110,7,6.4,6,0.42,15.1,Matches
9,Diego Conde\4eae5bc4,es ESP,GK,Getafe,23-106,1998,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,6,0.0,4,0,100.0,65.3,2,100.0,68.5,2,0,0.0,0,0.00,,Matches
10,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,29-276,1992,23.0,20,1,0,1,0,21.1,0.25,+1.1,+0.05,79,217,36.4,611,125,25.5,31.8,128,47.7,41.2,202,19,9.4,15,0.65,14.8,Matches
11,Javier Díaz\17a1299d,es ESP,GK,Sevilla,24-272,1997,1.0,1,0,0,0,0,0.4,0.18,-0.6,-0.65,5,10,50.0,30,2,26.7,31.8,3,66.7,50.3,12,1,8.3,1,1.00,25.0,Matches
12,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,28-048,1993,18.8,20,6,0,3,1,24.4,0.27,+5.4,+0.29,127,361,35.2,429,92,59.2,47.3,139,77.0,57.6,142,14,9.9,5,0.27,11.5,Matches
13,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,34-279,1987,23.0,25,1,0,1,0,29.6,0.31,+4.6,+0.20,213,506,42.1,694,76,55.0,44.7,168,73.8,55.9,173,21,12.1,22,0.96,15.6,Matches
14,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,30-018,1992,4.0,5,0,0,0,0,4.9,0.33,-0.1,-0.04,12,36,33.3,116,18,24.1,29.9,19,42.1,40.6,29,2,6.9,8,2.00,18.9,Matches
15,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,31-098,1990,1.8,3,0,0,1,0,3.8,0.47,+0.8,+0.42,22,44,50.0,38,3,73.7,48.7,18,88.9,57.1,24,1,4.2,0,0.00,9.0,Matches
