,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,34-136,1987,22,22,1980,22.0,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.2,1.2,0.05,0.01,0.06,0.05,0.06,Matches
2,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,21-322,2000,21,20,1730,19.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.8,1.4,0.03,0.04,0.07,0.03,0.07,Matches
3,Laurent Abergel\31626657,fr FRA,MF,Lorient,29-010,1993,21,21,1826,20.3,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,1.7,1.7,1.7,3.4,0.08,0.08,0.17,0.08,0.17,Matches
4,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,21-305,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,18-320,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,Matches
6,Martin Adeline\7587446d,fr FRA,FWMF,Reims,18-071,2003,5,2,236,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.17,0.13,0.29,0.17,0.29,Matches
7,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,21-197,2000,23,18,1593,17.7,1,6,1,0,0,4,0,0.06,0.34,0.40,0.06,0.40,1.3,1.3,4.0,5.4,0.08,0.23,0.30,0.08,0.30,Matches
8,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,20-002,2002,16,13,1126,12.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.06,0.02,0.08,0.06,0.08,Matches
9,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,25-318,1996,19,19,1700,18.9,2,1,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,1.4,1.4,0.3,1.7,0.07,0.01,0.09,0.07,0.09,Matches
10,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,28-291,1993,18,13,1328,14.8,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.4,0.4,0.01,0.03,0.03,0.01,0.03,Matches
11,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,22-322,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
12,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,27-328,1994,15,7,585,6.5,1,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,0.8,0.8,0.8,1.6,0.13,0.12,0.25,0.13,0.25,Matches
13,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-351,1994,21,20,1698,18.9,10,7,8,2,2,4,1,0.53,0.37,0.90,0.42,0.80,8.5,7.0,3.2,10.3,0.45,0.17,0.62,0.37,0.54,Matches
14,Maghnes Akliouche\b625b241,fr FRA,FWMF,Monaco,19-351,2002,3,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.36,0.36,0.00,0.36,Matches
15,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-197,1998,4,0,158,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
16,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,30-021,1992,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
