,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4.0,3,0,0,0,0,2.1,0.21,-0.9,-0.22,19,43,44.2,79,14,32.9,33.5,21,81.0,53.6,37,0,0.0,7,1.75,15.5,Matches
2,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,5.7,13,2,1,0,0,13.3,0.42,+0.3,+0.05,33,86,38.4,141,39,39.7,34.7,44,68.2,50.2,52,1,1.9,9,1.59,15.8,Matches
3,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22.0,18,2,1,1,0,21.9,0.25,+3.9,+0.18,100,255,39.2,433,91,37.4,34.3,153,60.8,46.5,181,11,6.1,16,0.73,14.7,Matches
4,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4.0,4,1,0,1,0,4.6,0.34,+0.6,+0.16,18,75,24.0,97,18,56.7,42.2,24,83.3,54.2,21,4,19.0,6,1.50,15.7,Matches
5,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13.0,19,3,2,6,0,14.6,0.29,-4.4,-0.33,55,122,45.1,239,82,32.6,35.2,98,44.9,40.5,134,17,12.7,7,0.54,14.5,Matches
6,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,5.2,12,0,1,1,1,10.2,0.35,-0.8,-0.16,44,100,44.0,126,29,51.6,39.8,55,63.6,48.1,56,8,14.3,1,0.19,12.0,Matches
7,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22.0,33,1,0,5,2,28.3,0.27,-4.7,-0.20,183,386,47.4,510,117,48.0,41.1,190,74.2,54.9,183,15,8.2,9,0.39,13.8,Matches
8,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1.0,1,0,0,0,0,1.4,0.29,+0.4,+0.45,3,4,75.0,16,6,12.5,20.4,7,28.6,25.9,10,0,0.0,0,0.00,18.5,Matches
9,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,5.0,7,1,0,2,0,8.1,0.28,+1.1,+0.22,36,86,41.9,76,22,57.9,46.9,44,95.5,64.8,46,2,4.3,2,0.40,12.8,Matches
10,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2.0,7,1,0,2,0,4.1,0.35,-2.9,-1.46,6,13,46.2,42,14,28.6,30.7,10,10.0,30.0,10,0,0.0,3,1.50,17.9,Matches
11,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21.0,50,5,1,6,0,39.3,0.31,-10.7,-0.51,184,415,44.3,589,66,48.9,40.2,179,70.9,52.1,165,13,7.9,18,0.86,15.9,Matches
12,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13.0,26,2,0,4,1,18.1,0.32,-6.9,-0.53,37,137,27.0,267,49,33.3,34.6,101,47.5,38.1,85,3,3.5,5,0.38,12.4,Matches
13,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,23-295,1998,10.0,13,1,0,2,2,10.0,0.26,-1.0,-0.10,58,157,36.9,239,37,47.7,39.7,64,67.2,46.6,83,2,2.4,10,1.00,14.6,Matches
14,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,22-351,1999,10.0,7,0,0,2,0,8.7,0.27,+1.7,+0.17,21,38,55.3,213,69,13.6,23.7,55,16.4,22.1,60,3,5.0,13,1.30,17.1,Matches
15,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,32-328,1989,1.0,0,0,0,0,0,0.0,,0.0,0.00,9,25,36.0,32,5,46.9,37.5,10,100.0,59.5,10,0,0.0,0,0.00,12.5,Matches
16,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,23-361,1998,2.5,5,1,0,0,0,3.2,0.20,-1.8,-0.74,2,8,25.0,43,12,16.3,25.0,19,5.3,18.6,20,0,0.0,5,2.00,16.9,Matches
17,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,28-294,1993,23.0,31,5,0,6,2,28.9,0.25,-0.1,-0.01,181,395,45.8,631,124,45.0,37.9,183,60.7,43.8,208,14,6.7,12,0.52,12.7,Matches
18,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,28-159,1993,18.0,16,3,0,2,0,16.9,0.33,+0.9,+0.05,93,203,45.8,426,91,29.8,31.5,114,66.7,50.1,171,9,5.3,12,0.67,14.7,Matches
19,Ivo Grbić\3f034750,hr CRO,GK,Lille,26-024,1996,21.0,28,2,1,6,1,27.3,0.29,+0.3,+0.01,110,287,38.3,421,85,44.4,38.6,164,61.0,46.2,205,21,10.2,13,0.62,14.6,Matches
20,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,21-207,2000,13.3,27,1,1,3,2,20.7,0.30,-4.3,-0.32,75,188,39.9,295,65,41.7,37.9,109,59.6,47.4,112,9,8.0,8,0.60,14.5,Matches
21,Eiji Kawashima\a4527d33,jp JPN,GK,Strasbourg,38-328,1983,1.0,0,0,0,0,0,0.0,0.02,0.0,+0.02,1,4,25.0,24,5,8.3,28.4,7,28.6,32.3,8,0,0.0,0,0.00,13.2,Matches
22,Alban Lafont\4e7db402,fr FRA,GK,Nantes,23-019,1999,23.0,28,1,0,3,1,26.9,0.28,-0.1,0.00,126,399,31.6,504,76,50.6,44.5,176,81.8,59.5,173,12,6.9,13,0.57,14.1,Matches
23,Jean-Louis Leca\edbe46dc,fr FRA,GK,Lens,36-143,1985,20.5,28,2,1,2,0,24.3,0.33,-3.7,-0.18,95,220,43.2,436,102,37.6,34.6,148,37.8,34.7,155,18,11.6,13,0.63,13.9,Matches
