,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4,4,360,4.0,3,0.75,10,7,70.0,2,0,2,2,50.0,0,0,0,0,,Matches
2,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0.0,2,2,0,0,0.0,Matches
3,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22,22,1980,22.0,18,0.82,80,64,80.0,13,4,5,8,36.4,2,2,0,0,0.0,Matches
4,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4,4,360,4.0,4,1.00,11,8,72.7,2,0,2,1,25.0,1,1,0,0,0.0,Matches
5,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13,13,1170,13.0,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0.0,Matches
6,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,6,5,472,5.2,12,2.29,29,18,58.6,2,1,2,1,20.0,0,0,0,0,,Matches
7,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22,22,1980,22.0,33,1.50,102,69,68.6,7,7,8,4,18.2,1,1,0,0,0.0,Matches
8,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches
9,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,6,5,453,5.0,7,1.39,26,20,76.9,2,1,2,1,20.0,1,1,0,0,0.0,Matches
10,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2,2,180,2.0,7,3.50,11,4,45.5,0,1,1,0,0.0,2,1,1,0,50.0,Matches
11,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21,21,1890,21.0,50,2.38,111,66,59.5,3,8,10,0,0.0,5,5,0,0,0.0,Matches
12,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13,13,1170,13.0,26,2.00,53,30,54.7,3,4,6,3,23.1,2,2,0,0,0.0,Matches
13,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,23-295,1998,10,10,900,10.0,13,1.30,36,25,66.7,3,2,5,3,30.0,1,1,0,0,0.0,Matches
14,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,22-351,1999,10,10,900,10.0,7,0.70,33,25,78.8,8,1,1,4,40.0,0,0,0,0,,Matches
15,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,32-328,1989,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
16,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,23-361,1998,3,2,225,2.5,5,2.00,11,7,63.6,1,0,1,1,50.0,1,1,0,0,0.0,Matches
17,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,28-294,1993,23,23,2070,23.0,31,1.35,95,70,72.6,5,6,12,5,21.7,5,5,0,0,0.0,Matches
18,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,28-159,1993,18,18,1620,18.0,16,0.89,47,32,72.3,9,4,5,8,44.4,3,3,0,0,0.0,Matches
19,Ivo Grbić\3f034750,hr CRO,GK,Lille,26-024,1996,21,21,1890,21.0,28,1.33,88,63,70.5,8,7,6,2,9.5,2,2,0,0,0.0,Matches
20,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,21-207,2000,15,15,1197,13.3,27,2.03,67,43,61.2,2,5,8,1,6.7,1,1,0,0,0.0,Matches
21,Eiji Kawashima\a4527d33,jp JPN,GK,Strasbourg,38-328,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
22,Alban Lafont\4e7db402,fr FRA,GK,Nantes,23-019,1999,23,23,2070,23.0,28,1.22,91,64,70.3,9,5,9,5,21.7,2,1,1,0,50.0,Matches
23,Jean-Louis Leca\edbe46dc,fr FRA,GK,Lens,36-143,1985,21,21,1845,20.5,28,1.37,72,46,63.9,8,6,7,4,19.0,2,2,0,0,0.0,Matches
24,Anthony Lopes\f00de885,pt POR,GK,Lyon,31-133,1990,22,22,1963,21.8,29,1.33,100,77,74.0,8,8,6,5,22.7,3,3,0,0,0.0,Matches
25,Pau López\20b9f052,es ESP,GK,Marseille,27-060,1994,19,19,1710,19.0,15,0.79,52,39,76.9,10,5,4,10,52.6,3,3,0,0,0.0,Matches
26,Steve Mandanda\1d2d5cc8,fr FRA,GK,Marseille,36-320,1985,4,4,360,4.0,5,1.25,14,9,64.3,2,2,0,1,25.0,0,0,0,0,,Matches
27,Paul Nardi\2d70dbe5,fr FRA,GK,Lorient,27-269,1994,22,22,1980,22.0,38,1.73,88,56,61.4,3,8,11,4,18.2,5,4,0,1,0.0,Matches
28,Keylor Navas\ecada4fc,cr CRC,GK,Paris S-G,35-058,1986,13,13,1144,12.7,11,0.87,51,40,78.4,9,4,0,4,30.8,0,0,0,0,,Matches
29,Alexander Nübel\afb0c500,de GER,GK,Monaco,25-134,1996,23,23,2070,23.0,26,1.13,77,59,74.0,10,6,7,6,26.1,7,6,0,1,0.0,Matches
30,Jonas Omlin\c631f952,ch SUI,GK,Montpellier,28-032,1994,18,18,1598,17.8,21,1.18,91,70,76.9,8,3,7,5,27.8,0,0,0,0,,Matches
31,Alexandre Oukidja\ae7d0ecd,dz ALG,GK,Metz,33-207,1988,18,18,1617,18.0,36,2.00,77,45,57.1,2,7,9,3,16.7,3,3,0,0,0.0,Matches
32,Danijel Petković\b98cea65,me MNE,GK,Angers,28-262,1993,10,10,900,10.0,15,1.50,46,34,71.7,3,3,4,2,20.0,3,2,1,0,33.3,Matches
33,Julian Pollersbeck\d6f6ce93,de GER,GK,Lyon,27-179,1994,2,1,105,1.2,1,0.86,6,6,100.0,1,0,0,1,100.0,1,1,0,0,0.0,Matches
34,Gaëtan Poussin\c252c705,fr FRA,GK,Bordeaux,23-029,1999,2,2,180,2.0,8,4.00,12,4,33.3,1,0,1,0,0.0,1,0,1,0,100.0,Matches
