,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,34-136,1987,22.0,4,0,0,29,20,0,1,76,29,0,0,0,158,46,31,59.7,Matches
2,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,21-322,2000,19.2,7,1,1,33,25,0,4,38,25,0,0,0,153,16,18,47.1,Matches
3,Laurent Abergel\31626657,fr FRA,MF,Lorient,29-010,1993,20.3,7,0,0,28,36,0,15,50,40,0,0,0,186,8,7,53.3,Matches
4,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,21-305,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100.0,Matches
5,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,18-320,2003,1.1,0,0,0,2,1,0,1,1,0,0,0,0,7,0,2,0.0,Matches
6,Martin Adeline\7587446d,fr FRA,FWMF,Reims,18-071,2003,2.6,1,0,0,11,2,0,1,10,8,0,0,0,26,2,3,40.0,Matches
7,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,21-197,2000,17.7,4,0,0,16,26,4,26,38,21,0,0,0,110,14,16,46.7,Matches
8,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,20-002,2002,12.5,4,0,0,22,10,0,1,31,25,0,0,0,109,16,20,44.4,Matches
9,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,25-318,1996,18.9,1,0,0,9,7,1,2,31,8,0,1,0,143,72,27,72.7,Matches
10,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,28-291,1993,14.8,2,0,0,20,20,1,30,37,35,0,0,1,137,25,22,53.2,Matches
11,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,22-322,1999,1.0,0,0,0,0,0,0,0,2,2,0,0,0,7,1,0,100.0,Matches
12,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,27-328,1994,6.5,0,0,0,12,10,0,2,13,6,0,0,0,62,7,2,77.8,Matches
13,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-351,1994,18.9,4,1,0,21,20,6,12,8,16,1,0,1,76,96,67,58.9,Matches
14,Maghnes Akliouche\b625b241,fr FRA,FWMF,Monaco,19-351,2002,0.2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
15,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-197,1998,1.8,1,0,0,5,8,0,1,6,6,0,0,0,17,1,1,50.0,Matches
