,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,34-136,1987,22.0,849,1034,82.1,18340,6366,229,258,88.8,488,547,89.2,128,199,64.3,0,0.2,-0.2,6,50,4,0,53,Matches
2,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,21-322,2000,19.2,1152,1248,92.3,21718,3606,444,474,93.7,546,575,95.0,146,169,86.4,0,0.8,-0.8,8,49,5,0,45,Matches
3,Laurent Abergel\31626657,fr FRA,MF,Lorient,29-010,1993,20.3,836,1020,82.0,16239,4156,331,371,89.2,361,407,88.7,134,197,68.0,1,1.7,-0.7,14,78,13,6,79,Matches
4,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,21-305,2000,0.5,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
5,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,18-320,2003,1.1,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,1,1,1,0,1,Matches
6,Martin Adeline\7587446d,fr FRA,FWMF,Reims,18-071,2003,2.6,69,100,69.0,1201,311,27,33,81.8,29,38,76.3,7,14,50.0,0,0.3,-0.3,1,6,2,0,8,Matches
7,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,21-197,2000,17.7,657,876,75.0,13875,4381,258,300,86.0,255,306,83.3,135,241,56.0,6,4.0,+2.0,41,79,22,3,103,Matches
8,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,20-002,2002,12.5,499,570,87.5,9350,2314,202,224,90.2,205,227,90.3,75,90,83.3,0,0.3,-0.3,8,29,9,0,42,Matches
9,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,25-318,1996,18.9,1256,1384,90.8,28209,9356,311,330,94.2,669,697,96.0,268,344,77.9,1,0.3,+0.7,1,69,2,0,54,Matches
10,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,28-291,1993,14.8,977,1137,85.9,17364,6158,439,476,92.2,449,502,89.4,80,133,60.2,1,0.4,+0.6,7,83,19,5,86,Matches
11,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,22-322,1999,1.0,72,75,96.0,1581,409,18,20,90.0,39,39,100.0,15,16,93.8,0,0.0,0.0,0,2,0,0,4,Matches
12,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,27-328,1994,6.5,217,262,82.8,3711,550,88,95,92.6,98,114,86.0,22,38,57.9,1,0.8,+0.2,4,10,4,1,14,Matches
13,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-351,1994,18.9,436,599,72.8,6552,984,246,309,79.6,125,173,72.3,35,58,60.3,7,3.2,+3.8,23,23,19,4,36,Matches
14,Maghnes Akliouche\b625b241,fr FRA,FWMF,Monaco,19-351,2002,0.2,9,9,100.0,96,1,8,8,100.0,1,1,100.0,0,0,,0,0.1,-0.1,1,0,1,0,1,Matches
15,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-197,1998,1.8,85,103,82.5,1283,378,49,52,94.2,32,38,84.2,2,5,40.0,0,0.0,0.0,1,5,0,0,4,Matches
16,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,30-021,1992,0.2,4,4,100.0,41,13,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
17,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4.0,74,100,74.0,2195,1437,14,14,100.0,33,34,97.1,26,51,51.0,0,0.0,0.0,0,0,0,0,0,Matches
18,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,18-023,2004,13.1,127,173,73.4,1708,332,81,98,82.7,33,46,71.7,4,12,33.3,0,1.1,-1.1,7,7,6,2,10,Matches
19,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,26-349,1995,10.2,239,311,76.8,3804,738,137,162,84.6,76,99,76.8,19,34,55.9,2,1.7,+0.3,12,17,8,3,21,Matches
20,Ibrahim Amadou\9260926b,fr FRA,DF,Metz,28-311,1993,2.0,137,149,91.9,2901,642,39,40,97.5,79,82,96.3,19,26,73.1,0,0.0,0.0,0,3,0,0,3,Matches
21,Jordan Amavi\22721b88,fr FRA,DF,Nice,27-339,1994,1.8,101,114,88.6,1822,631,48,49,98.0,37,43,86.0,13,15,86.7,0,0.0,0.0,0,6,0,0,8,Matches
22,Jordan Amavi\22721b88,fr FRA,DF,Marseille,27-339,1994,1.4,76,88,86.4,1404,379,34,38,89.5,33,36,91.7,9,12,75.0,0,0.1,-0.1,1,6,2,1,7,Matches
