,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,34-136,1987,22.0,1,14,4,28.6,0.64,0.18,0.07,0.25,19.1,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
2,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,21-322,2000,19.2,0,12,4,33.3,0.62,0.21,0.00,0.00,18.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
3,Laurent Abergel\31626657,fr FRA,MF,Lorient,29-010,1993,20.3,0,19,4,21.1,0.94,0.20,0.00,0.00,21.6,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
4,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,21-305,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,18-320,2003,1.1,0,2,0,0.0,1.75,0.00,0.00,,8.6,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
6,Martin Adeline\7587446d,fr FRA,FWMF,Reims,18-071,2003,2.6,0,3,1,33.3,1.14,0.38,0.00,0.00,11.2,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
7,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,21-197,2000,17.7,1,18,8,44.4,1.02,0.45,0.06,0.13,21.6,4,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
8,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,20-002,2002,12.5,0,10,1,10.0,0.80,0.08,0.00,0.00,11.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
9,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,25-318,1996,18.9,2,17,5,29.4,0.90,0.26,0.12,0.40,8.2,0,0,0,1.4,1.4,0.08,+0.6,+0.6,Matches
10,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,28-291,1993,14.8,0,4,1,25.0,0.27,0.07,0.00,0.00,24.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
11,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,22-322,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,27-328,1994,6.5,1,9,2,22.2,1.38,0.31,0.11,0.50,19.7,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
13,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-351,1994,18.9,10,41,20,48.8,2.17,1.06,0.20,0.40,12.9,0,2,2,8.5,7.0,0.17,+1.5,+1.0,Matches
14,Maghnes Akliouche\b625b241,fr FRA,FWMF,Monaco,19-351,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-197,1998,1.8,0,1,0,0.0,0.57,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
16,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,30-021,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,18-023,2004,13.1,2,28,10,35.7,2.13,0.76,0.07,0.20,13.9,0,0,0,4.6,4.6,0.17,-2.6,-2.6,Matches
19,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,26-349,1995,10.2,0,24,11,45.8,2.35,1.08,0.00,0.00,19.8,1,0,0,1.9,1.9,0.08,-1.9,-1.9,Matches
20,Ibrahim Amadou\9260926b,fr FRA,DF,Metz,28-311,1993,2.0,0,1,0,0.0,0.50,0.00,0.00,,7.0,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
21,Jordan Amavi\22721b88,fr FRA,DF,Nice,27-339,1994,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Jordan Amavi\22721b88,fr FRA,DF,Marseille,27-339,1994,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Benjamin André\ef9c1c95,fr FRA,MF,Lille,31-192,1990,19.5,2,10,2,20.0,0.51,0.10,0.20,1.00,12.7,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
