,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,17,0,0,2,1,18.9,0.34,+2.9,+0.14,90,182,49.5,649,103,21.9,30.0,95,42.1,37.9,139,15,10.8,30,1.43,17.1,Matches
2,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1.0,1,0,0,0,0,1.4,0.48,+0.4,+0.43,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0.00,7.0,Matches
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4.0,2,0,0,1,0,3.5,0.27,+1.5,+0.38,16,39,41.0,118,28,28.0,30.8,21,28.6,30.3,31,1,3.2,5,1.25,16.0,Matches
4,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11.0,26,3,1,4,2,21.2,0.31,-2.8,-0.25,79,207,38.2,248,40,61.3,47.1,80,68.8,51.5,103,3,2.9,8,0.73,13.7,Matches
5,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1.0,3,0,0,0,1,0.9,0.31,-1.1,-1.08,5,16,31.3,11,2,72.7,50.5,12,66.7,49.6,5,1,20.0,0,0.00,15.0,Matches
6,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3.0,6,0,1,0,1,5.6,0.37,+0.6,+0.21,12,46,26.1,73,12,41.1,33.4,32,50.0,40.0,33,0,0.0,1,0.33,12.3,Matches
7,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2.0,5,0,0,1,0,4.3,0.40,-0.7,-0.36,20,39,51.3,46,0,58.7,42.0,13,92.3,59.1,21,1,4.8,4,2.00,22.0,Matches
8,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8.0,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.50,14.9,Matches
9,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-027,1989,10.0,17,1,0,2,1,18.1,0.39,+2.1,+0.21,91,214,42.5,234,38,49.6,41.5,107,91.6,62.6,81,6,7.4,3,0.30,11.9,Matches
10,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-178,1993,23.0,14,1,0,1,0,12.5,0.23,-1.5,-0.06,89,157,56.7,581,106,22.5,29.5,88,29.5,34.3,120,11,9.2,24,1.04,17.3,Matches
11,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-299,1985,23.0,30,1,1,4,0,31.4,0.31,+1.4,+0.06,149,367,40.6,420,85,56.4,45.0,177,73.4,54.6,210,8,3.8,5,0.22,12.0,Matches
12,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-304,1998,12.0,24,1,0,5,2,24.4,0.35,+2.4,+0.20,82,247,33.2,417,56,48.0,38.6,83,56.6,41.0,123,7,5.7,10,0.83,14.3,Matches
13,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,33-331,1988,6.0,10,2,0,1,1,11.3,0.33,+2.3,+0.39,46,126,36.5,143,16,59.4,47.9,51,80.4,55.3,81,7,8.6,5,0.83,12.3,Matches
14,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-314,1983,11.0,15,0,0,2,0,14.5,0.36,-0.5,-0.04,101,273,37.0,276,26,69.2,51.7,94,87.2,62.8,103,5,4.9,10,0.91,16.7,Matches
15,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-096,1990,23.0,31,1,0,4,2,38.5,0.33,+9.5,+0.41,92,238,38.7,365,76,38.6,36.2,181,53.6,43.8,192,7,3.6,4,0.17,13.5,Matches
16,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-032,1987,20.0,29,3,1,9,0,24.3,0.27,-4.7,-0.23,105,216,48.6,502,112,32.1,31.8,128,43.0,34.7,155,13,8.4,10,0.50,14.1,Matches
17,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-020,1996,4.0,9,2,0,0,0,8.0,0.34,-1.0,-0.25,27,73,37.0,102,17,56.9,41.9,28,53.6,42.5,34,1,2.9,4,1.00,15.6,Matches
18,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-018,1987,2.0,6,0,0,1,1,3.3,0.27,-1.7,-0.84,26,65,40.0,58,8,75.9,57.4,22,95.5,70.0,20,1,5.0,3,1.50,15.9,Matches
19,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-080,1998,2.0,2,0,0,0,0,2.2,0.30,+0.2,+0.12,8,16,50.0,77,12,18.2,26.4,13,15.4,26.2,10,0,0.0,3,1.50,16.1,Matches
20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-314,1988,19.0,37,4,0,5,2,34.0,0.33,-1.0,-0.05,131,342,38.3,571,94,46.1,40.3,147,53.7,45.0,168,7,4.2,8,0.42,12.8,Matches
21,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29-344,1992,3.0,9,0,0,1,0,7.1,0.39,-1.9,-0.65,11,39,28.2,61,11,37.7,36.3,26,61.5,45.7,30,2,6.7,1,0.33,13.1,Matches
22,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-047,1986,21.0,27,1,0,3,1,27.1,0.31,+1.1,+0.05,111,229,48.5,348,67,43.1,37.1,160,49.4,38.5,194,10,5.2,15,0.71,15.0,Matches
