,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,21.9,50,30,35,15,0,29,44,65.9,15,261,71,27.2,154,83,24,56,16,0,40,36,86,42,0,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,12.4,9,6,3,2,4,1,7,14.3,6,185,45,24.3,27,68,90,16,4,0,12,8,17,11,0,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,10.3,45,26,34,7,4,17,28,60.7,11,230,77,33.5,135,61,34,18,1,0,17,20,65,16,0,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,10.3,16,9,13,1,2,9,18,50.0,9,87,27,31.0,48,31,8,17,6,1,11,21,37,48,1,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,6.5,6,4,2,3,1,1,2,50.0,1,39,12,30.8,17,19,3,8,5,0,3,12,18,22,0,Matches
6,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,7.1,26,11,14,7,5,6,25,24.0,19,192,43,22.4,74,91,27,16,3,1,13,16,42,4,0,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,8.5,31,23,11,14,6,6,19,31.6,13,143,56,39.2,41,70,32,12,1,0,11,15,46,10,1,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,20.7,28,17,14,11,3,16,39,41.0,23,196,68,34.7,67,71,58,28,2,0,26,53,81,34,1,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,0,0,0,0,0,0,1,0.0,1,4,2,50.0,4,0,0,0,0,0,0,0,0,1,1,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-034,1991,17.1,55,46,28,22,5,13,58,22.4,45,435,139,32.0,176,220,39,34,6,0,28,28,83,28,0,Matches
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,0.7,2,1,1,1,0,0,2,0.0,2,16,4,25.0,7,4,5,2,1,0,1,1,3,3,0,Matches
12,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-306,1996,7.3,19,7,11,6,2,5,17,29.4,12,209,55,26.3,81,92,36,25,5,0,20,17,36,12,0,Matches
13,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,28-001,1994,10.9,34,20,21,7,6,10,33,30.3,23,235,56,23.8,89,91,55,15,1,1,14,15,49,6,0,Matches
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-045,1990,15.9,35,22,18,10,7,13,26,50.0,13,213,57,26.8,95,69,49,29,3,0,26,48,83,41,0,Matches
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-156,1998,2.8,5,5,1,3,1,2,3,66.7,1,52,14,26.9,17,24,11,3,0,0,3,12,17,6,0,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-052,1994,10.7,11,4,7,4,0,7,16,43.8,9,86,26,30.2,57,26,3,22,13,1,9,16,27,49,1,Matches
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-256,1996,17.4,20,12,13,7,0,8,16,50.0,8,83,25,30.1,51,28,4,21,9,0,12,41,61,91,2,Matches
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-320,1990,22.4,19,14,5,5,9,5,11,45.5,6,290,89,30.7,22,104,164,15,0,0,15,8,27,10,0,Matches
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-205,2001,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,0,0,0,0,1,1,1,0,Matches
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,25-001,1997,13.3,9,6,3,3,3,0,4,0.0,4,191,53,27.7,21,69,101,7,1,0,6,8,17,5,0,Matches
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-318,1992,4.8,6,4,4,1,1,2,8,25.0,6,71,25,35.2,21,34,16,5,0,0,5,8,14,5,0,Matches
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-089,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,1,1,0,0,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-238,1989,11.5,12,7,5,5,2,2,6,33.3,4,201,53,26.4,23,78,100,19,3,0,16,1,13,3,0,Matches
26,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-153,1991,15.0,36,24,14,17,5,9,19,47.4,10,321,94,29.3,83,142,96,27,3,0,24,17,53,4,0,Matches
27,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-170,1991,13.0,29,18,23,6,0,16,33,48.5,17,163,60,36.8,93,57,13,32,21,0,11,24,53,34,1,Matches
28,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-167,1989,15.4,43,23,20,18,5,16,32,50.0,16,235,63,26.8,100,100,35,42,9,0,33,22,65,51,0,Matches
29,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-186,1997,4.7,15,10,6,6,3,3,8,37.5,5,59,22,37.3,15,22,22,6,2,0,4,3,18,3,0,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,2.4,8,3,6,2,0,1,2,50.0,1,21,9,42.9,14,6,1,5,2,0,3,9,17,10,0,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,0.8,0,0,0,0,0,0,0,,0,21,5,23.8,2,2,17,1,0,0,1,0,0,1,0,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,5.1,2,1,1,1,0,1,3,33.3,2,94,32,34.0,4,41,49,6,3,0,3,3,5,8,0,Matches
