,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21,21,1890,21.0,17,0.81,56,39,69.6,14,5,2,11,52.4,0,0,0,0,,Matches
2,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,Matches
4,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11,11,990,11.0,26,2.36,61,39,62.3,1,0,10,0,0.0,3,3,0,0,0.0,Matches
5,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1,1,90,1.0,3,3.00,3,1,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
6,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3,3,270,3.0,6,2.00,13,8,53.8,0,2,1,0,0.0,1,0,1,0,100.0,Matches
7,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Matches
8,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8,8,720,8.0,15,1.87,37,25,64.9,0,5,3,0,0.0,2,2,0,0,0.0,Matches
9,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-027,1989,10,10,900,10.0,17,1.70,46,31,65.2,3,3,4,2,20.0,1,1,0,0,0.0,Matches
10,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-178,1993,23,23,2070,23.0,14,0.61,51,36,74.5,18,3,2,13,56.5,1,1,0,0,0.0,Matches
11,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-299,1985,23,23,2070,23.0,30,1.30,99,66,70.7,12,4,7,6,26.1,2,1,1,0,50.0,Matches
12,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-304,1998,12,12,1080,12.0,24,2.00,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0.0,Matches
13,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,33-331,1988,6,6,540,6.0,10,1.67,29,22,72.4,3,2,1,0,0.0,2,2,0,0,0.0,Matches
14,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-314,1983,11,11,990,11.0,15,1.36,39,23,61.5,3,3,5,1,9.1,1,0,1,0,100.0,Matches
15,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-096,1990,23,23,2070,23.0,31,1.35,112,82,73.2,11,6,6,5,21.7,4,1,3,0,75.0,Matches
16,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-032,1987,20,20,1800,20.0,29,1.45,81,55,67.9,5,8,7,5,25.0,3,3,0,0,0.0,Matches
17,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-020,1996,4,4,360,4.0,9,2.25,18,11,61.1,1,1,2,1,25.0,3,2,0,1,0.0,Matches
18,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-018,1987,2,2,180,2.0,6,3.00,13,7,53.8,0,0,2,0,0.0,0,0,0,0,,Matches
19,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-080,1998,2,2,180,2.0,2,1.00,8,5,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-314,1988,19,19,1710,19.0,37,1.95,95,61,65.3,3,4,12,3,15.8,5,4,1,0,20.0,Matches
21,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29-344,1992,3,3,270,3.0,9,3.00,18,8,50.0,0,0,3,0,0.0,0,0,0,0,,Matches
22,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-047,1986,21,21,1890,21.0,27,1.29,86,61,69.8,11,3,7,8,38.1,1,1,0,0,0.0,Matches
23,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-010,1989,2,2,180,2.0,5,2.50,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,Matches
24,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,29-162,1992,21,21,1890,21.0,32,1.52,88,59,67.0,8,3,10,6,28.6,5,3,1,1,25.0,Matches
25,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,32-070,1989,15,15,1350,15.0,21,1.40,60,38,65.0,3,7,5,5,33.3,0,0,0,0,,Matches
26,Edouard Mendy\33887998,sn SEN,GK,Chelsea,29-347,1992,20,20,1800,20.0,16,0.80,63,51,81.0,11,7,2,8,40.0,4,4,0,0,0.0,Matches
27,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,21-346,2000,22,22,1980,22.0,43,1.95,111,69,64.0,5,8,9,3,13.6,3,3,0,0,0.0,Matches
28,Jordan Pickford\4806ec67,eng ENG,GK,Everton,27-341,1994,20,20,1800,20.0,35,1.75,94,62,63.8,5,4,11,3,15.0,1,1,0,0,0.0,Matches
29,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-298,1992,18,18,1620,18.0,22,1.22,80,57,72.5,1,11,6,5,27.8,0,0,0,0,,Matches
30,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-273,1998,19,19,1710,19.0,16,0.84,72,55,81.9,12,3,4,11,57.9,3,3,0,0,0.0,Matches
31,David Raya\98ea5115,es ESP,GK,Brentford,26-149,1995,10,10,900,10.0,11,1.10,35,25,71.4,3,3,4,3,30.0,1,1,0,0,0.0,Matches
32,José Sá\903b6e8b,pt POR,GK,Wolves,29-025,1993,22,22,1980,22.0,17,0.77,81,68,84.0,10,4,8,8,36.4,4,4,0,0,0.0,Matches
33,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-085,1997,21,21,1889,21.0,21,1.00,79,59,75.9,6,12,3,6,28.6,3,2,0,1,0.0,Matches
34,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-098,1986,21,21,1890,21.0,39,1.86,110,77,69.1,7,5,9,3,14.3,7,5,1,1,16.7,Matches
35,Jason Steele\28300a16,eng ENG,GK,Brighton,31-177,1990,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
36,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-141,1992,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
37,Zack Steffen\42130443,us USA,GK,Manchester City,26-315,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
38,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24-344,1997,4,4,360,4.0,12,3.00,19,9,47.4,0,1,3,0,0.0,3,2,1,0,33.3,Matches
