,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,21.9,5,0,0,20,36,1,36,36,30,0,2,1,120,10,38,20.8,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,12.4,0,0,0,18,28,3,6,8,6,0,0,0,75,31,59,34.4,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,10.3,1,0,0,10,10,1,28,20,26,1,0,0,77,12,12,50.0,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,10.3,2,0,0,9,13,0,5,21,9,0,0,0,98,41,18,69.5,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,6.5,0,0,0,6,1,0,0,12,4,0,0,0,48,28,1,96.6,Matches
6,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,7.1,1,0,0,6,8,1,8,16,11,0,0,0,39,6,7,46.2,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,8.5,1,0,0,16,10,0,0,15,23,0,0,0,124,23,10,69.7,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,20.7,1,0,0,11,7,5,85,53,17,0,0,0,211,13,15,46.4,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,0,0,0,0,2,0,0,0,0,0,0,1,128,0,0,,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-034,1991,17.1,4,0,0,23,19,0,5,28,46,1,0,0,192,8,8,50.0,Matches
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,0.7,0,0,0,2,0,0,0,1,1,0,0,0,2,2,3,40.0,Matches
