,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,21.9,980,751,229,14,1,110,14,36,0,0,0,0,558,209,213,113,625,17,215,1,733,6,18,32,39,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,12.4,243,233,10,0,3,68,1,6,0,0,0,0,153,47,43,20,177,15,1,5,165,2,6,13,12,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,10.3,537,422,115,9,1,77,17,28,20,6,11,1,294,111,132,360,62,22,86,0,386,2,13,17,19,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,10.3,385,317,68,6,0,65,5,5,0,0,0,0,184,104,97,19,243,28,62,1,261,1,11,19,19,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,6.5,495,476,19,3,0,34,3,0,0,0,0,0,422,37,36,356,89,17,16,2,456,0,2,2,1,Matches
6,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,7.1,236,193,43,3,0,51,13,8,17,9,5,1,120,59,57,14,181,13,22,0,144,3,4,14,18,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,8.5,718,707,11,6,1,101,32,0,0,0,0,0,535,71,112,48,626,21,2,2,631,1,9,25,9,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,20.7,1811,1445,366,63,12,165,136,85,93,19,62,1,945,313,553,205,1342,43,210,3,1357,5,27,78,46,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,744,616,128,33,0,42,21,0,0,0,0,0,543,31,170,48,573,0,0,103,640,0,12,10,0,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-034,1991,17.1,683,636,47,16,0,99,12,5,0,0,0,0,451,88,144,74,568,22,9,3,529,4,11,34,21,Matches
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,0.7,21,19,2,0,0,3,0,0,1,0,0,0,15,3,3,0,18,1,0,0,16,1,1,0,2,Matches
12,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-306,1996,7.3,214,202,12,6,0,42,2,3,0,0,0,0,149,33,32,10,180,12,3,3,167,1,2,11,7,Matches
