,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,21.9,733,980,74.8,12397,4564,373,412,90.5,282,370,76.2,68,157,43.3,1,0.9,+0.1,12,36,28,7,72,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,12.4,165,243,67.9,2373,477,102,127,80.3,45,68,66.2,10,22,45.5,1,1.5,-0.5,11,7,6,1,16,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,10.3,386,537,71.9,6446,2350,206,226,91.2,145,191,75.9,33,93,35.5,2,0.9,+1.1,8,16,7,4,23,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,10.3,261,385,67.8,4762,2132,102,128,79.7,127,171,74.3,27,62,43.5,0,0.6,-0.6,2,19,5,1,26,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,6.5,456,495,92.1,8110,2311,200,211,94.8,219,237,92.4,34,43,79.1,0,0.0,0.0,0,31,3,0,15,Matches
6,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,7.1,144,236,61.0,2327,1060,83,96,86.5,50,76,65.8,8,45,17.8,0,0.3,-0.3,4,12,6,2,15,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,8.5,631,718,87.9,13357,3716,214,237,90.3,299,325,92.0,112,142,78.9,1,1.0,0.0,10,97,9,0,92,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,20.7,1357,1811,74.9,29798,12086,500,570,87.7,542,668,81.1,299,519,57.6,10,7.7,+2.3,62,148,65,16,205,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,640,744,86.0,16805,9231,107,108,99.1,365,370,98.6,167,265,63.0,0,0.1,-0.1,1,7,0,0,0,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-034,1991,17.1,529,683,77.5,10330,3080,193,227,85.0,246,298,82.6,76,122,62.3,2,0.5,+1.5,12,61,14,2,81,Matches
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,0.7,16,21,76.2,245,63,7,7,100.0,8,10,80.0,0,1,0.0,0,0.0,0.0,2,2,0,0,1,Matches
12,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-306,1996,7.3,167,214,78.0,2687,651,94,108,87.0,56,69,81.2,14,27,51.9,0,0.8,-0.8,2,13,5,0,19,Matches
13,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,28-001,1994,10.9,213,273,78.0,3476,861,117,135,86.7,72,92,78.3,20,30,66.7,0,0.4,-0.4,10,13,5,1,20,Matches
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-045,1990,15.9,677,892,75.9,11915,4381,325,368,88.3,272,333,81.7,64,143,44.8,2,2.8,-0.8,25,44,17,8,67,Matches
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-156,1998,2.8,120,133,90.2,2080,588,52,57,91.2,48,50,96.0,16,20,80.0,0,0.2,-0.2,3,11,3,1,12,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-052,1994,10.7,517,583,88.7,10327,3216,158,168,94.0,294,317,92.7,62,85,72.9,0,0.0,0.0,1,19,0,0,30,Matches
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-256,1996,17.4,994,1160,85.7,25207,7241,182,198,91.9,530,559,94.8,279,395,70.6,1,0.8,+0.2,8,74,4,1,45,Matches
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-320,1990,22.4,319,491,65.0,5260,1015,171,225,76.0,99,145,68.3,34,60,56.7,6,5.0,+1.0,35,16,23,10,26,Matches
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-205,2001,0.3,5,5,100.0,91,28,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,1,0,3,Matches
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1.0,20,41,48.8,768,546,0,0,,9,9,100.0,11,32,34.4,0,0.0,0.0,0,0,0,0,0,Matches
21,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,25-001,1997,13.3,180,259,69.5,3123,507,80,106,75.5,81,108,75.0,14,27,51.9,2,1.7,+0.3,12,12,11,0,20,Matches
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-318,1992,4.8,130,173,75.1,2058,410,71,90,78.9,51,61,83.6,6,12,50.0,0,0.5,-0.5,9,7,2,0,10,Matches
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4.0,115,139,82.7,2763,1294,28,28,100.0,59,59,100.0,27,51,52.9,0,0.0,0.0,0,1,0,0,0,Matches
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-089,2001,0.1,7,8,87.5,142,18,2,2,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-238,1989,11.5,144,204,70.6,2006,383,93,116,80.2,40,62,64.5,8,14,57.1,1,0.8,+0.2,9,4,10,1,13,Matches
26,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-153,1991,15.0,393,520,75.6,5991,1181,224,251,89.2,133,169,78.7,26,62,41.9,2,2.1,-0.1,18,18,13,4,32,Matches
27,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-170,1991,13.0,695,862,80.6,14946,6234,239,271,88.2,323,360,89.7,127,212,59.9,2,0.1,+1.9,3,57,5,2,64,Matches
28,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-167,1989,15.4,903,1102,81.9,15198,6053,433,479,90.4,410,474,86.5,54,115,47.0,2,1.8,+0.2,14,61,16,1,81,Matches
29,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11.0,193,328,58.8,7324,4991,20,20,100.0,76,79,96.2,97,229,42.4,0,0.0,0.0,0,9,0,0,0,Matches
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-186,1997,4.7,87,131,66.4,1567,354,39,48,81.3,31,43,72.1,14,33,42.4,2,0.3,+1.7,5,3,6,2,12,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,2.4,64,80,80.0,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0.0,0.0,0,2,0,0,3,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,0.8,4,8,50.0,60,6,2,4,50.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,5.1,71,88,80.7,1121,149,42,46,91.3,21,26,80.8,7,11,63.6,2,0.6,+1.4,4,4,4,1,6,Matches
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-309,1998,9.1,207,252,82.1,3520,706,103,117,88.0,78,92,84.8,19,29,65.5,1,0.4,+0.6,7,21,4,1,16,Matches
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-068,1993,1.7,90,110,81.8,1500,342,50,55,90.9,26,32,81.3,11,14,78.6,0,0.5,-0.5,7,6,6,0,10,Matches
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-104,1989,4.3,59,90,65.6,902,240,38,51,74.5,16,23,69.6,5,10,50.0,0,0.8,-0.8,7,9,3,0,8,Matches
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-064,1997,12.4,270,374,72.2,3760,1021,167,198,84.3,79,114,69.3,11,30,36.7,3,2.1,+0.9,16,13,9,2,33,Matches
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-105,2002,0.5,15,19,78.9,181,31,12,15,80.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Matches
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-035,1999,4.2,179,239,74.9,3587,1478,58,68,85.3,94,111,84.7,24,52,46.2,0,0.2,-0.2,3,13,2,2,5,Matches
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-305,1996,16.7,662,805,82.2,13556,4095,204,224,91.1,368,409,90.0,85,161,52.8,0,0.2,-0.2,3,40,1,1,28,Matches
41,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-299,1997,0.3,38,40,95.0,656,190,18,18,100.0,15,15,100.0,4,5,80.0,0,0.0,0.0,0,6,0,0,5,Matches
