,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,22,1969,90,95.1,21.9,22,90,21,0,,0,0.77,14,43,-29,-1.33,+1.35,18.0,36.6,-18.6,-0.85,-0.18,Matches
2,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,24-132,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
3,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,17,1116,66,53.9,12.4,13,79,7,4,23,2,1.29,14,18,-4,-0.32,-0.04,15.8,18.0,-2.2,-0.18,-0.08,Matches
4,Adrián\f76e6b4e,es ESP,GK,Liverpool,35-039,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
5,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,12,926,77,46.8,10.3,10,89,8,2,18,7,1.25,9,6,+3,+0.29,+0.38,8.4,15.1,-6.7,-0.66,-0.63,Matches
6,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,11,925,84,42.8,10.3,10,88,9,1,45,3,0.82,10,17,-7,-0.68,-0.17,11.3,13.5,-2.2,-0.22,-0.14,Matches
7,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,8,581,73,26.9,6.5,6,90,6,2,21,15,2.38,10,3,+7,+1.08,-0.97,9.9,4.9,+5.0,+0.77,-1.05,Matches
8,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,11,637,58,33.7,7.1,6,90,6,5,19,7,1.27,9,17,-8,-1.13,-1.35,7.3,18.8,-11.5,-1.63,-1.89,Matches
9,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,12,766,64,37.0,8.5,9,80,2,3,17,0,2.58,22,3,+19,+2.23,+0.71,25.6,5.0,+20.5,+2.41,+1.51,Matches
10,Ryan Alebiousu\ce048fb8,eng ENG,FW,Arsenal,20-056,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
11,Ajibola Alese\182a8b9d,eng ENG,DF,West Ham,22-025,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
12,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,21,1863,89,90.0,20.7,21,89,19,0,,0,2.24,54,17,+37,+1.79,+0.05,52.1,20.9,+31.3,+1.51,+0.47,Matches
13,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21,1890,90,91.3,21.0,21,90,21,0,,0,2.24,53,17,+36,+1.71,-0.79,52.1,21.6,+30.5,+1.45,-0.12,Matches
14,Allan\cc700722,br BRA,MF,Everton,31-034,1991,18,1537,85,81.3,17.1,17,88,13,1,40,1,1.00,22,30,-8,-0.47,+0.81,21.9,24.4,-2.5,-0.15,+0.53,Matches
15,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,1,66,66,3.5,0.7,0,,0,1,66,0,0.00,1,3,-2,-2.73,-2.18,0.4,2.2,-1.8,-2.43,-2.27,Matches
16,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-306,1996,10,657,66,34.8,7.3,8,80,5,2,11,9,1.40,6,13,-7,-0.96,-1.54,9.2,11.1,-2.0,-0.27,-1.08,Matches
17,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,28-001,1994,17,980,58,49.5,10.9,11,79,4,6,18,4,0.65,10,26,-16,-1.47,-1.11,10.2,21.9,-11.6,-1.07,-0.69,Matches
18,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-045,1990,18,1431,80,66.3,15.9,16,85,10,2,34,5,1.72,26,14,+12,+0.75,-1.47,23.5,15.4,+8.1,+0.51,-0.80,Matches
19,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-156,1998,6,250,42,12.6,2.8,3,74,1,3,9,7,1.67,2,3,-1,-0.36,-0.41,2.0,4.1,-2.1,-0.76,-0.80,Matches
