,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,21.9,1254,103,473,534,339,18,1032,25,56,44.6,26,4,741,4372,2674,118,38,8,17,21,782,706,90.3,29,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,12.4,408,20,64,172,189,56,398,5,13,38.5,7,0,247,940,404,18,6,5,31,30,523,266,50.9,72,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,10.3,687,34,245,250,217,22,574,22,38,57.9,26,2,408,1940,1244,66,10,7,14,19,432,380,88.0,26,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,10.3,505,62,237,221,77,14,440,7,9,77.8,7,0,244,1540,881,27,9,0,9,4,247,218,88.3,9,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,6.5,549,40,192,321,80,3,530,0,2,0.0,0,0,402,2084,1406,47,9,0,2,1,446,426,95.5,1,Matches
6,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,7.1,322,23,90,145,101,5,280,13,24,54.2,14,1,183,673,252,12,4,2,7,9,239,168,70.3,16,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,8.5,808,23,146,516,201,22,799,3,7,42.9,3,0,591,2576,1343,75,23,4,5,8,620,591,95.3,19,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,20.7,2009,55,391,944,761,60,1646,19,29,65.5,19,0,1150,4208,2307,110,42,10,10,17,1335,1249,93.6,83,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,811,623,805,7,0,0,683,1,2,50.0,1,0,467,1636,892,0,0,0,0,0,456,451,98.9,0,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-034,1991,17.1,870,53,257,508,152,9,823,13,17,76.5,13,1,536,2634,1376,68,19,2,13,22,495,459,92.7,13,Matches
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,0.7,40,5,9,23,13,5,38,3,4,75.0,3,1,27,92,46,5,2,1,3,4,34,26,76.5,8,Matches
12,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-306,1996,7.3,331,23,87,172,97,20,321,5,18,27.8,7,2,213,908,446,17,6,0,12,18,262,199,76.0,31,Matches
13,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,28-001,1994,10.9,415,12,92,169,185,32,411,8,19,42.1,12,1,290,1921,926,47,11,4,15,23,351,248,70.7,32,Matches
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-045,1990,15.9,1125,59,323,390,454,42,934,11,26,42.3,12,1,625,2904,1631,81,15,8,18,21,725,627,86.5,61,Matches
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-156,1998,2.8,169,8,48,98,35,2,169,1,2,50.0,1,1,115,484,264,13,8,0,3,3,113,105,92.9,3,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-052,1994,10.7,693,124,399,313,15,0,682,3,5,60.0,3,0,471,2012,1237,25,4,0,3,1,497,487,98.0,0,Matches
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-256,1996,17.4,1343,286,833,555,37,12,1305,2,4,50.0,2,0,846,4777,2370,36,3,0,1,4,967,958,99.1,1,Matches
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-320,1990,22.4,817,12,53,309,507,123,797,24,56,42.9,27,4,607,2939,1695,91,26,21,88,67,1197,632,52.8,182,Matches
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-205,2001,0.3,12,0,1,2,9,3,12,1,2,50.0,1,0,7,15,0,0,0,0,0,1,9,6,66.7,2,Matches
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1.0,42,40,42,0,0,0,25,0,0,,0,0,17,49,13,0,0,0,0,0,20,20,100.0,0,Matches
21,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,25-001,1997,13.3,402,6,37,161,239,68,376,14,29,48.3,15,1,281,1663,928,56,17,15,25,21,534,282,52.8,90,Matches
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-318,1992,4.8,218,13,42,103,95,15,215,3,8,37.5,4,0,163,1249,630,25,10,2,3,6,177,150,84.7,20,Matches
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4.0,149,130,149,0,0,0,120,0,0,,0,0,85,253,117,0,0,0,0,0,81,81,100.0,0,Matches
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-089,2001,0.1,9,1,3,1,5,0,8,0,0,,0,0,4,21,5,1,0,0,0,0,8,6,75.0,0,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-238,1989,11.5,321,5,34,140,167,55,313,2,6,33.3,3,0,169,1024,600,29,11,9,20,5,443,225,50.8,56,Matches
26,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-153,1991,15.0,789,10,110,427,333,56,783,29,59,49.2,30,5,618,3790,2177,110,36,18,46,48,728,573,78.7,71,Matches
27,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-170,1991,13.0,1007,126,542,431,113,14,937,14,20,70.0,15,2,634,4025,2439,57,17,1,11,9,683,656,96.0,8,Matches
28,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-167,1989,15.4,1274,92,407,581,334,38,1149,9,11,81.8,9,0,744,2965,1628,84,17,5,8,5,910,855,94.0,39,Matches
29,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11.0,362,309,359,3,0,0,249,1,1,100.0,1,0,163,889,567,0,0,0,0,0,135,134,99.3,0,Matches
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-186,1997,4.7,208,5,31,74,119,18,194,10,17,58.8,11,1,154,929,473,30,3,6,11,18,181,141,77.9,28,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,2.4,114,26,74,41,3,0,110,0,2,0.0,0,0,62,313,142,5,0,0,1,3,54,53,98.1,0,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,0.8,23,1,3,10,12,6,23,0,2,0.0,0,0,16,50,16,1,0,1,4,2,34,17,50.0,7,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,5.1,151,10,22,67,72,31,138,3,7,42.9,4,0,90,343,152,8,2,1,15,6,216,97,44.9,30,Matches
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-309,1998,9.1,344,12,77,185,115,16,343,10,14,71.4,10,0,245,1243,702,38,12,2,19,8,327,217,66.4,31,Matches
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-068,1993,1.7,131,0,9,50,86,7,124,4,5,80.0,5,0,94,743,451,18,10,1,1,6,118,108,91.5,20,Matches
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-104,1989,4.3,138,2,13,72,62,22,135,2,4,50.0,2,0,87,275,116,7,3,2,13,8,195,90,46.2,21,Matches
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-064,1997,12.4,553,8,61,245,306,70,550,16,46,34.8,20,1,434,2696,1817,94,31,22,35,32,598,439,73.4,89,Matches
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-105,2002,0.5,29,1,7,19,7,0,29,1,2,50.0,1,1,22,104,28,0,1,0,4,2,27,19,70.4,1,Matches
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-035,1999,4.2,267,44,146,107,30,2,223,0,0,,0,0,143,905,620,13,3,0,0,0,158,151,95.6,2,Matches
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-305,1996,16.7,1007,139,503,503,45,17,962,2,2,100.0,2,0,530,2316,1193,16,0,0,1,1,578,564,97.6,4,Matches
41,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-299,1997,0.3,43,0,8,29,9,0,43,0,1,0.0,1,1,35,163,78,5,0,0,0,1,36,36,100.0,2,Matches
42,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-299,1997,0.8,53,2,19,21,15,4,53,3,4,75.0,3,0,31,59,23,2,0,1,1,4,41,30,73.2,5,Matches
43,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1.0,25,24,25,0,0,0,12,0,0,,0,0,5,24,16,0,0,0,0,0,8,8,100.0,0,Matches
