,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,21.9,0,9,2,22.2,0.41,0.09,0.00,0.00,20.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,12.4,5,26,15,57.7,2.10,1.21,0.19,0.33,13.6,0,0,0,3.3,3.3,0.13,+1.7,+1.7,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,10.3,0,6,2,33.3,0.58,0.19,0.00,0.00,15.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,10.3,0,3,0,0.0,0.29,0.00,0.00,,10.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,6.5,1,2,1,50.0,0.31,0.15,0.50,1.00,6.0,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches
6,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,7.1,1,3,1,33.3,0.42,0.14,0.33,1.00,15.0,0,0,0,0.5,0.5,0.15,+0.5,+0.5,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,8.5,1,17,5,29.4,2.00,0.59,0.06,0.20,16.0,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,20.7,2,36,11,30.6,1.74,0.53,0.06,0.18,21.9,3,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-034,1991,17.1,0,4,2,50.0,0.23,0.12,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,0.7,0,1,0,0.0,1.36,0.00,0.00,,18.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
12,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-306,1996,7.3,1,4,2,50.0,0.55,0.27,0.00,0.00,18.2,0,1,1,1.5,0.7,0.18,-0.5,-0.7,Matches
