,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Tammy Abraham\f586779e,eng ENG,FW,Roma,24-132,1997,23,23,1940,21.6,10,3,10,0,0,7,0,0.46,0.14,0.60,0.46,0.60,12.4,12.4,2.7,15.1,0.58,0.13,0.70,0.58,0.70,Matches
2,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,34-001,1988,18,18,1539,17.1,3,0,3,0,0,1,1,0.18,0.00,0.18,0.18,0.18,1.0,1.0,0.2,1.3,0.06,0.01,0.08,0.06,0.08,Matches
3,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,25-036,1997,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.48,0.48,0.00,0.48,Matches
4,Felix Afena-Gyan\0154d290,gh GHA,FW,Roma,19-023,2003,10,2,376,4.2,2,0,2,0,0,4,1,0.48,0.00,0.48,0.48,0.48,1.2,1.2,0.1,1.3,0.28,0.03,0.31,0.28,0.31,Matches
5,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,23-089,1998,9,2,360,4.0,1,0,1,0,0,1,1,0.25,0.00,0.25,0.25,0.25,0.5,0.5,0.6,1.1,0.13,0.15,0.28,0.13,0.28,Matches
6,Ola Aina\246d153b,ng NGA,DF,Torino,25-126,1996,16,13,1066,11.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.3,1.5,0.02,0.11,0.13,0.02,0.13,Matches
7,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,29-123,1992,8,4,302,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.12,0.01,0.13,0.12,0.13,Matches
8,Luis Alberto\5294a83f,es ESP,MF,Lazio,29-136,1992,22,16,1443,16.0,3,6,3,0,0,4,0,0.19,0.37,0.56,0.19,0.56,1.6,1.6,4.2,5.8,0.10,0.26,0.36,0.10,0.36,Matches
9,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,23-186,1998,5,4,316,3.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
10,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,24-003,1998,20,19,1612,17.9,0,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,1.0,1.0,0.9,2.0,0.06,0.05,0.11,0.06,0.11,Matches
11,Nadiem Amiri\555d5edd,de GER,FW,Genoa,25-107,1996,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
12,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,21-150,2000,16,14,1177,13.1,0,2,0,0,0,7,1,0.00,0.15,0.15,0.00,0.15,0.1,0.1,1.3,1.4,0.01,0.10,0.11,0.01,0.11,Matches
13,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,25-174,1996,12,1,226,2.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
14,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,28-302,1993,24,20,1758,19.5,3,4,3,0,0,1,0,0.15,0.20,0.36,0.15,0.36,2.6,2.6,4.8,7.5,0.14,0.25,0.38,0.14,0.38,Matches
15,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,19-174,2002,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
16,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,35-144,1986,9,3,357,4.0,0,3,0,0,0,0,0,0.00,0.76,0.76,0.00,0.76,0.2,0.2,0.7,0.9,0.04,0.18,0.22,0.04,0.22,Matches
17,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,19-177,2002,12,8,619,6.9,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,1.4,1.4,0.2,1.7,0.21,0.03,0.24,0.21,0.24,Matches
18,Mattia Aramu\0847b5a5,it ITA,FWMF,Venezia,26-273,1995,19,15,1177,13.1,5,3,3,2,2,4,0,0.38,0.23,0.61,0.23,0.46,3.4,1.9,2.3,4.2,0.26,0.17,0.44,0.15,0.32,Matches
