,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Emil Audero\649b01d8,it ITA,GK,Sampdoria,25-024,1997,19.5,37,1,1,4,1,31.0,0.32,-5.0,-0.26,158,345,45.8,505,75,47.9,40.0,144,71.5,50.9,175,14,8.0,6,0.31,13.6,Matches
2,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,31-250,1990,20.0,45,3,0,6,2,34.9,0.27,-8.1,-0.41,143,335,42.7,373,70,56.3,44.6,168,74.4,53.5,197,10,5.1,6,0.30,12.6,Matches
3,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,35-015,1987,23.0,39,6,0,5,1,35.1,0.36,-2.9,-0.13,173,349,49.6,787,99,37.5,34.4,151,35.8,31.5,193,13,6.7,10,0.43,12.8,Matches
4,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,27-228,1994,21.0,40,4,4,8,1,36.0,0.33,-3.0,-0.14,187,426,43.9,547,71,54.1,42.1,183,71.0,50.8,192,17,8.9,11,0.52,14.7,Matches
5,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,24-176,1997,4.2,6,1,0,1,0,6.5,0.29,+0.5,+0.11,34,70,48.6,195,15,29.7,33.1,27,44.4,43.1,20,3,15.0,9,2.15,17.9,Matches
6,Wladimiro Falcone\9f5a610b,it ITA,GK,Sampdoria,26-305,1995,4.5,4,0,0,0,0,7.2,0.26,+3.2,+0.71,30,84,35.7,119,18,45.4,38.3,38,78.9,51.2,51,2,3.9,1,0.22,12.9,Matches
7,Vincenzo Fiorillo\a2565f79,it ITA,GK,Salernitana,32-029,1990,2.0,5,0,0,1,0,2.6,0.33,-2.4,-2.38,11,19,57.9,20,4,50.0,41.3,11,81.8,53.3,7,1,14.3,0,0.00,10.0,Matches
8,Luca Gemello\53e494ec,it ITA,GK,Torino,21-223,2000,1.0,0,0,0,0,0,0.9,0.22,+0.9,+0.87,11,28,39.3,31,1,80.6,51.9,3,100.0,60.7,4,0,0.0,0,0.00,12.0,Matches
9,Samir Handanović\74419746,si SVN,GK,Inter,37-212,1984,23.0,19,3,0,2,1,18.4,0.21,+0.4,+0.02,129,226,57.1,661,95,30.1,29.9,88,30.7,30.1,165,9,5.5,2,0.09,11.7,Matches
10,Luca Lezzerini\c9c32262,it ITA,GK,Venezia,26-324,1995,4.5,8,0,0,0,0,11.3,0.32,+3.3,+0.73,17,43,39.5,133,39,24.1,30.1,34,32.4,31.0,48,2,4.2,2,0.44,11.2,Matches
11,Niki Mäenpää\14a96e1c,fi FIN,GK,Venezia,37-019,1985,5.5,9,2,0,0,0,8.0,0.36,-1.0,-0.18,18,60,30.0,129,31,38.0,35.7,39,28.2,29.2,53,3,5.7,1,0.18,11.9,Matches
12,Mike Maignan\fcb38f57,fr FRA,GK,Milan,26-223,1995,18.0,16,2,0,4,1,18.7,0.27,+3.7,+0.21,108,232,46.6,526,85,38.0,36.1,85,37.6,37.2,128,15,11.7,18,1.00,17.0,Matches
13,Alex Meret\9413b19f,it ITA,GK,Napoli,24-326,1997,4.0,2,0,0,0,0,2.2,0.17,+0.2,+0.05,6,14,42.9,72,19,12.5,25.3,17,29.4,32.8,27,2,7.4,0,0.00,10.3,Matches
14,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,24-356,1997,22.0,23,4,2,2,0,20.0,0.27,-3.0,-0.13,175,558,31.4,698,76,62.8,51.1,134,89.6,70.3,121,9,7.4,11,0.50,13.8,Matches
15,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,25-356,1996,21.0,34,2,0,4,2,26.8,0.31,-5.2,-0.25,142,386,36.8,472,82,61.7,45.6,133,71.4,50.0,191,12,6.3,10,0.48,13.8,Matches
16,Juan Musso\a111cf41,ar ARG,GK,Atalanta,27-281,1994,20.6,25,0,0,2,1,20.5,0.29,-3.5,-0.17,115,260,44.2,473,95,32.8,34.3,142,73.9,53.6,145,11,7.6,17,0.83,15.6,Matches
17,David Ospina\82b1198a,co COL,GK,Napoli,33-164,1988,20.0,14,1,0,3,1,14.3,0.22,+1.3,+0.06,90,179,50.3,493,73,31.0,31.5,98,26.5,27.5,132,13,9.8,12,0.60,14.0,Matches
18,Daniele Padelli\cf1c23d8,it ITA,GK,Udinese,36-109,1985,2.0,8,0,0,0,0,5.0,0.46,-3.0,-1.48,11,35,31.4,63,9,39.7,32.3,14,71.4,50.1,19,1,5.3,1,0.50,11.8,Matches
19,Ivor Pandur\457cb02f,hr CRO,GK,Hellas Verona,21-323,2000,3.0,6,1,1,1,0,5.1,0.30,-0.9,-0.28,14,26,53.8,53,10,37.7,36.8,15,40.0,34.2,9,1,11.1,0,0.00,12.3,Matches
20,Rui Patrício\79b0d6a0,pt POR,GK,Roma,33-361,1988,24.0,30,3,1,3,1,27.4,0.27,-1.6,-0.07,131,272,48.2,516,97,42.2,36.8,153,35.3,34.2,178,3,1.7,12,0.50,13.2,Matches
21,Gianluca Pegolo\f058ed1f,it ITA,GK,Sassuolo,40-323,1981,1.0,3,0,0,1,0,1.9,0.39,-1.1,-1.06,6,10,60.0,26,4,30.8,31.0,8,25.0,25.6,12,0,0.0,0,0.00,12.8,Matches
22,Mattia Perin\4c62d0c8,it ITA,GK,Juventus,29-093,1992,3.0,4,0,0,1,0,4.1,0.52,+0.1,+0.04,10,25,40.0,64,8,34.4,36.7,21,14.3,23.2,25,2,8.0,0,0.00,10.1,Matches
23,Ivan Provedel\277da414,it ITA,GK,Spezia,27-331,1994,17.0,25,5,2,2,2,21.5,0.20,-1.5,-0.09,155,383,40.5,563,73,53.5,44.3,122,67.2,49.7,161,11,6.8,12,0.71,15.8,Matches
24,Boris Radunović\0dfce079,rs SRB,GK,Cagliari,25-261,1996,3.0,5,1,1,0,0,5.9,0.31,+0.9,+0.30,26,69,37.7,75,11,61.3,45.1,28,82.1,54.2,29,1,3.4,1,0.33,11.9,Matches
25,Pepe Reina\e358587b,es ESP,GK,Lazio,39-164,1982,15.0,29,4,0,2,0,24.2,0.37,-4.8,-0.32,99,182,54.4,426,70,35.0,33.2,99,33.3,32.1,120,6,5.0,10,0.67,13.9,Matches
26,Sergio Romero\1e26e376,ar ARG,GK,Venezia,34-354,1987,13.0,25,3,0,1,2,25.6,0.30,+2.6,+0.20,91,199,45.7,366,83,39.9,36.0,123,43.1,37.9,137,9,6.6,8,0.62,12.1,Matches
27,Francesco Rossi\7b5f516f,it ITA,GK,Atalanta,30-290,1991,0.4,1,0,0,0,0,1.0,0.50,0.0,-0.01,2,7,28.6,12,0,41.7,42.0,4,50.0,54.0,3,0,0.0,0,0.00,14.0,Matches
28,Luigi Sepe\343f753a,it ITA,GK,Salernitana,30-279,1991,1.0,2,2,0,0,0,1.8,,-0.2,-0.21,6,18,33.3,23,2,56.5,45.0,9,55.6,42.7,9,0,0.0,0,0.00,13.0,Matches
29,Marco Silvestri\0d422df7,it ITA,GK,Udinese,30-346,1991,21.0,28,3,0,5,1,24.5,0.31,-2.5,-0.13,130,315,41.3,435,51,53.3,41.8,158,52.5,42.0,149,8,5.4,3,0.15,11.4,Matches
30,Salvatore Sirigu\10dc46f0,it ITA,GK,Genoa,35-030,1987,24.0,45,3,3,6,2,37.1,0.29,-5.9,-0.25,193,425,45.4,689,74,48.0,38.8,162,58.0,42.0,197,9,4.6,8,0.33,13.2,Matches
31,Łukasz Skorupski\ab4449d6,pl POL,GK,Bologna,30-282,1991,23.0,37,6,1,3,2,34.3,0.27,-0.7,-0.03,154,339,45.4,620,108,45.6,38.0,155,36.1,31.7,205,16,7.8,6,0.26,11.6,Matches
