,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Tammy Abraham\f586779e,eng ENG,FW,Roma,24-132,1997,21.6,28,18,7,14,7,9,15,60.0,6,303,96,31.7,32,130,141,26,10,0,16,8,36,19,0,Matches
2,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,34-001,1988,17.1,15,8,11,4,0,5,13,38.5,8,108,27,25.0,57,42,9,30,20,0,10,33,48,77,0,Matches
3,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,25-036,1997,0.1,1,1,1,0,0,0,0,,0,4,2,50.0,1,0,3,0,0,0,0,0,1,0,0,Matches
4,Felix Afena-Gyan\0154d290,gh GHA,FW,Roma,19-023,2003,4.2,3,1,0,3,0,1,3,33.3,2,99,27,27.3,14,37,48,3,0,0,3,5,8,0,0,Matches
5,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,23-089,1998,4.0,15,11,7,5,3,4,6,66.7,2,131,27,20.6,25,66,40,12,0,0,12,2,17,1,0,Matches
6,Ola Aina\246d153b,ng NGA,DF,Torino,25-126,1996,11.8,23,12,9,11,3,11,18,61.1,7,125,46,36.8,42,52,31,20,3,0,17,27,50,24,0,Matches
7,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,29-123,1992,3.4,14,8,5,8,1,3,10,30.0,7,101,28,27.7,23,54,24,4,2,0,2,3,17,3,0,Matches
8,Luis Alberto\5294a83f,es ESP,MF,Lazio,29-136,1992,16.0,22,15,7,10,5,6,27,22.2,21,241,66,27.4,64,117,60,14,1,0,13,13,35,4,0,Matches
9,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,23-186,1998,3.5,10,6,4,5,1,4,10,40.0,6,41,13,31.7,14,22,5,7,1,0,6,12,22,13,0,Matches
10,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,24-003,1998,17.9,38,23,23,9,6,9,18,50.0,9,269,97,36.1,139,95,35,39,15,0,24,31,69,54,0,Matches
11,Nadiem Amiri\555d5edd,de GER,FW,Genoa,25-107,1996,0.4,0,0,0,0,0,0,0,,0,10,2,20.0,6,4,0,0,0,0,0,1,1,0,0,Matches
12,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,21-150,2000,13.1,39,24,20,15,4,5,20,25.0,15,220,62,28.2,109,93,18,32,8,0,24,35,74,35,0,Matches
13,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,25-174,1996,2.5,10,7,4,4,2,4,9,44.4,5,59,13,22.0,14,37,8,11,3,0,8,3,13,1,0,Matches
14,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,28-302,1993,19.5,52,29,20,24,8,16,60,26.7,44,487,116,23.8,111,220,156,39,2,0,37,23,75,11,0,Matches
15,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,19-174,2002,0.3,2,0,2,0,0,0,0,,0,6,0,0.0,5,1,0,0,0,0,0,1,3,0,0,Matches
16,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,35-144,1986,4.0,9,4,6,3,0,5,6,83.3,1,39,13,33.3,15,11,13,2,0,0,2,4,13,5,0,Matches
17,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,19-177,2002,6.9,16,11,3,7,6,5,12,41.7,7,150,44,29.3,26,45,79,7,0,0,7,3,19,4,0,Matches
18,Mattia Aramu\0847b5a5,it ITA,FWMF,Venezia,26-273,1995,13.1,15,7,2,10,3,3,12,25.0,9,250,52,20.8,60,122,68,13,1,0,12,8,23,10,0,Matches
19,Marko Arnautović\00459419,at AUT,FW,Bologna,32-298,1989,18.3,11,9,0,9,2,4,21,19.0,17,264,79,29.9,27,122,115,13,1,0,12,9,20,13,0,Matches
20,Tolgay Arslan\963a328b,de GER,MF,Udinese,31-179,1990,13.3,22,15,11,7,4,9,30,30.0,21,206,57,27.7,68,106,32,19,2,0,17,19,41,11,0,Matches
21,Arthur\a820e429,br BRA,FW,Fiorentina,23-292,1998,0.8,1,0,0,0,1,0,1,0.0,1,19,3,15.8,0,4,15,2,0,0,2,1,2,2,0,Matches
22,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,21-033,2001,8.1,15,9,5,9,1,7,15,46.7,8,130,34,26.2,44,64,22,22,10,0,12,18,33,19,0,Matches
23,Kristjan Asllani\0fdcef0e,al ALB,MF,Empoli,19-339,2002,2.1,2,1,1,1,0,1,2,50.0,1,49,8,16.3,17,26,6,3,1,0,2,4,6,5,0,Matches
24,Emil Audero\649b01d8,it ITA,GK,Sampdoria,25-024,1997,19.5,0,0,0,0,0,0,0,,0,4,1,25.0,4,0,0,0,0,0,0,0,0,0,0,Matches
25,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,27-165,1994,18.8,36,20,21,8,7,9,19,47.4,10,192,57,29.7,96,54,42,34,4,0,30,29,65,43,1,Matches
26,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,31-193,1990,1.5,1,1,1,0,0,1,1,100.0,0,6,1,16.7,4,2,0,0,0,0,0,2,3,1,0,Matches
27,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,27-093,1994,6.8,12,6,8,4,0,2,6,33.3,4,62,19,30.6,38,24,0,11,9,1,2,11,23,29,0,Matches
28,Milan Badelj\e8c930bb,hr CRO,MF,Genoa,32-351,1989,19.7,45,31,21,19,5,19,49,38.8,30,296,95,32.1,109,147,40,31,4,0,27,81,126,23,0,Matches
29,Nedim Bajrami\f42d6c13,al ALB,MF,Empoli,22-348,1999,14.4,20,16,5,9,6,2,10,20.0,8,197,43,21.8,27,88,82,8,1,0,7,6,26,7,0,Matches
30,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Milan,27-178,1994,5.4,20,14,9,8,3,5,18,27.8,13,132,44,33.3,43,72,17,9,1,0,8,10,30,8,1,Matches
31,Keita Baldé\509a4ccb,sn SEN,FWMF,Cagliari,26-340,1995,9.8,7,3,1,3,3,2,7,28.6,5,144,31,21.5,16,69,59,10,3,0,7,2,9,5,0,Matches
32,Fodé Ballo-Touré\f449640d,sn SEN,DF,Milan,25-039,1997,4.9,19,12,6,12,1,3,7,42.9,4,92,31,33.7,33,38,21,12,3,1,9,4,23,4,0,Matches
33,Filippo Bandinelli\d44360be,it ITA,MF,Empoli,26-319,1995,11.9,28,12,12,13,3,7,18,38.9,11,225,55,24.4,68,107,50,17,3,0,14,15,43,16,0,Matches
34,Mattia Bani\0821331c,it ITA,DF,Genoa,28-063,1993,7.7,12,3,8,4,0,6,10,60.0,4,88,26,29.5,62,23,3,13,6,0,7,24,36,44,0,Matches
35,Antonín Barák\01efac19,cz CZE,FWMF,Hellas Verona,27-070,1994,18.0,18,11,10,7,1,4,17,23.5,13,291,86,29.6,72,145,74,33,5,0,28,8,26,21,0,Matches
36,Nicolò Barella\6928979a,it ITA,MF,Inter,25-004,1997,18.8,36,19,9,19,8,8,27,29.6,19,238,72,30.3,65,117,56,22,2,0,20,15,51,11,0,Matches
37,Musa Barrow\e5bf73f3,gm GAM,FWMF,Bologna,23-089,1998,14.4,11,9,2,6,3,3,10,30.0,7,205,49,23.9,34,82,89,13,0,0,13,7,18,5,0,Matches
38,Daniele Baselli\ea06dd97,it ITA,MFFW,Torino,29-336,1992,1.7,2,0,1,0,1,1,5,20.0,4,34,10,29.4,19,10,5,1,0,0,1,3,5,4,0,Matches
39,Daniele Baselli\ea06dd97,it ITA,FW,Cagliari,29-336,1992,0.1,0,0,0,0,0,0,0,,0,5,1,20.0,0,3,2,0,0,0,0,0,0,0,0,Matches
40,Toma Bašić\80556f08,hr CRO,MF,Lazio,25-078,1996,7.1,3,2,0,3,0,1,6,16.7,5,123,34,27.6,37,62,24,11,4,0,7,6,9,9,0,Matches
41,Alessandro Bastoni\75b86fb3,it ITA,DF,Inter,22-304,1999,18.4,33,22,20,12,1,11,18,61.1,7,209,80,38.3,90,89,30,24,10,0,14,24,57,54,1,Matches
42,Simone Bastoni\1ac232b8,it ITA,DFMF,Spezia,25-098,1996,18.1,39,23,18,16,5,17,38,44.7,21,333,89,26.7,128,156,49,37,7,0,30,34,73,26,0,Matches
43,Rodrigo Becão\19e4eab9,br BRA,DF,Udinese,26-023,1996,20.8,52,39,31,18,3,20,39,51.3,19,250,119,47.6,147,90,13,32,14,1,18,25,77,66,2,Matches
