,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Tammy Abraham\f586779e,eng ENG,FW,Roma,24-132,1997,21.6,7,0,0,35,29,13,12,8,18,0,1,0,73,58,63,47.9,Matches
2,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,34-001,1988,17.1,1,1,0,14,11,3,1,33,8,1,0,0,176,48,25,65.8,Matches
3,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,25-036,1997,0.1,0,0,0,2,0,0,1,0,1,0,0,0,2,0,1,0.0,Matches
4,Felix Afena-Gyan\0154d290,gh GHA,FW,Roma,19-023,2003,4.2,4,1,1,8,12,3,4,5,1,0,0,0,30,4,7,36.4,Matches
5,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,23-089,1998,4.0,1,1,0,17,7,0,4,2,11,0,0,0,27,7,9,43.8,Matches
6,Ola Aina\246d153b,ng NGA,DF,Torino,25-126,1996,11.8,4,0,0,17,24,0,27,27,12,0,0,0,102,14,18,43.8,Matches
7,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,29-123,1992,3.4,1,0,0,13,10,0,0,3,8,0,1,0,23,6,7,46.2,Matches
8,Luis Alberto\5294a83f,es ESP,MF,Lazio,29-136,1992,16.0,4,0,0,7,20,1,29,13,15,0,0,0,115,7,7,50.0,Matches
9,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,23-186,1998,3.5,3,0,0,11,3,1,1,12,6,0,0,0,46,5,10,33.3,Matches
10,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,24-003,1998,17.9,4,1,0,27,11,0,13,31,23,0,0,0,87,22,29,43.1,Matches
11,Nadiem Amiri\555d5edd,de GER,FW,Genoa,25-107,1996,0.4,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,100.0,Matches
