,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Tammy Abraham\f586779e,eng ENG,FW,Roma,24-132,1997,21.6,449,407,42,5,3,124,6,12,0,0,0,0,297,93,59,40,310,44,0,15,332,0,5,23,15,Matches
2,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,34-001,1988,17.1,1253,1208,45,39,1,92,44,1,0,0,0,0,920,110,223,964,211,46,1,3,1142,1,11,11,5,Matches
3,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,25-036,1997,0.1,8,8,0,0,0,0,0,1,0,0,0,0,7,1,0,0,8,0,0,0,6,0,0,1,0,Matches
4,Felix Afena-Gyan\0154d290,gh GHA,FW,Roma,19-023,2003,4.2,95,87,8,1,0,14,1,4,0,0,0,0,72,17,6,5,83,1,5,0,75,0,0,4,5,Matches
5,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,23-089,1998,4.0,116,112,4,1,0,41,1,4,1,1,0,0,80,19,17,97,10,3,0,0,81,1,3,4,7,Matches
6,Ola Aina\246d153b,ng NGA,DF,Torino,25-126,1996,11.8,546,446,100,6,2,67,6,27,0,0,0,0,289,100,157,122,295,22,94,3,384,2,9,16,30,Matches
7,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,29-123,1992,3.4,105,104,1,1,0,24,1,0,0,0,0,0,80,21,4,18,75,5,0,2,86,0,2,5,4,Matches
8,Luis Alberto\5294a83f,es ESP,MF,Lazio,29-136,1992,16.0,1218,1099,119,47,5,204,46,29,62,31,18,3,931,116,171,68,1115,16,8,5,1016,7,8,37,19,Matches
9,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,23-186,1998,3.5,175,159,16,3,0,11,6,1,0,0,0,0,83,18,74,23,112,24,13,0,126,0,3,6,2,Matches
10,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,24-003,1998,17.9,759,594,165,18,0,116,8,13,0,0,0,0,459,198,102,62,516,26,147,2,608,2,14,26,24,Matches
11,Nadiem Amiri\555d5edd,de GER,FW,Genoa,25-107,1996,0.4,14,13,1,0,0,1,0,0,1,1,0,0,12,0,2,1,13,0,0,0,10,0,1,2,0,Matches
12,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,21-150,2000,13.1,574,538,36,17,1,79,14,12,0,0,0,0,397,78,99,82,437,19,19,4,455,2,10,16,17,Matches
13,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,25-174,1996,2.5,169,162,7,7,0,12,7,2,0,0,0,0,134,13,22,2,156,9,0,2,150,0,0,4,5,Matches
14,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,28-302,1993,19.5,906,845,61,6,2,124,23,47,13,8,2,1,677,127,102,151,697,30,16,3,705,4,10,41,33,Matches
15,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,19-174,2002,0.3,11,8,3,0,0,0,1,0,0,0,0,0,3,2,6,7,1,0,3,0,4,0,0,0,1,Matches
16,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,35-144,1986,4.0,220,181,39,2,0,23,8,18,3,1,0,0,108,42,70,58,123,4,34,0,163,2,8,3,12,Matches
17,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,19-177,2002,6.9,154,141,13,0,1,32,1,4,0,0,0,0,100,25,29,21,108,15,2,1,102,2,2,8,9,Matches
18,Mattia Aramu\0847b5a5,it ITA,FWMF,Venezia,26-273,1995,13.1,470,388,82,17,1,77,23,30,32,14,15,0,280,74,116,395,42,11,10,8,307,4,12,26,23,Matches
19,Marko Arnautović\00459419,at AUT,FW,Bologna,32-298,1989,18.3,592,556,36,0,2,171,8,9,0,0,0,0,372,126,94,64,432,49,6,14,437,2,5,27,20,Matches
20,Tolgay Arslan\963a328b,de GER,MF,Udinese,31-179,1990,13.3,457,429,28,17,1,83,8,19,7,1,5,1,330,49,78,51,381,18,2,1,360,0,6,17,15,Matches
21,Arthur\a820e429,br BRA,FW,Fiorentina,23-292,1998,0.8,12,9,3,0,0,2,0,1,0,0,0,0,6,3,3,0,8,1,0,1,7,0,0,0,0,Matches
22,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,21-033,2001,8.1,216,208,8,7,0,48,2,1,0,0,0,0,107,44,65,43,133,15,1,5,145,3,4,11,10,Matches
23,Kristjan Asllani\0fdcef0e,al ALB,MF,Empoli,19-339,2002,2.1,105,102,3,1,0,12,2,2,1,0,1,0,76,9,20,32,70,2,1,0,87,0,3,4,0,Matches
24,Emil Audero\649b01d8,it ITA,GK,Sampdoria,25-024,1997,19.5,649,445,204,60,0,44,9,0,0,0,0,0,273,25,351,64,493,0,0,75,447,5,12,4,0,Matches
