,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Tammy Abraham\f586779e,eng ENG,FW,Roma,24-132,1997,21.6,729,21,60,359,353,128,689,21,43,48.8,21,2,400,1712,925,57,22,16,57,29,888,512,57.7,155,Matches
2,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,34-001,1988,17.1,1413,193,727,741,42,9,1372,1,1,100.0,1,0,942,4983,2905,63,13,0,6,3,1037,1021,98.5,7,Matches
3,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,25-036,1997,0.1,10,0,3,5,2,0,10,0,0,,0,0,8,21,11,0,0,0,0,0,6,5,83.3,0,Matches
4,Felix Afena-Gyan\0154d290,gh GHA,FW,Roma,19-023,2003,4.2,179,0,12,70,115,33,171,7,18,38.9,8,1,142,630,407,15,10,2,23,16,189,125,66.1,38,Matches
5,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,23-089,1998,4.0,187,1,28,100,82,11,183,13,20,65.0,13,1,145,789,489,20,9,2,8,16,155,121,78.1,20,Matches
6,Ola Aina\246d153b,ng NGA,DF,Torino,25-126,1996,11.8,719,39,167,343,262,24,624,14,28,50.0,15,2,392,2231,1334,61,24,10,19,14,474,403,85.0,33,Matches
7,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,29-123,1992,3.4,157,7,37,91,39,1,157,7,12,58.3,8,0,112,401,190,3,2,0,4,5,123,101,82.1,11,Matches
8,Luis Alberto\5294a83f,es ESP,MF,Lazio,29-136,1992,16.0,1346,10,198,764,496,22,1234,16,26,61.5,17,2,1000,4936,2972,119,61,6,9,18,1146,1053,91.9,63,Matches
9,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,23-186,1998,3.5,213,26,96,102,24,1,197,2,2,100.0,2,0,111,457,212,7,5,0,1,1,113,104,92.0,0,Matches
10,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,24-003,1998,17.9,959,78,394,434,182,21,798,9,15,60.0,9,0,515,2448,1254,45,10,3,12,15,589,531,90.2,25,Matches
11,Nadiem Amiri\555d5edd,de GER,FW,Genoa,25-107,1996,0.4,20,1,2,14,5,1,19,3,5,60.0,3,0,18,107,56,3,1,0,1,1,15,13,86.7,1,Matches
